Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,623/E E/Ayo/E Tender/MLA FUND/25-26 20.03.2026,2026_SCIDC_1128695_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,652",online,Ayodhya,No,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,1,FDR - Fixed Deposit,21-Mar-2026 09:25 AM,27-Mar-2026 11:00 AM,21-Mar-2026 09:25 AM,27-Mar-2026 09:00 AM,NA ,NA ,21-Mar-2026 10:00 AM,27-Mar-2026 09:00 AM,16-Apr-2026 12:00 PM,"22,000",No,fixed,,E E U P Scidco,Ayodhya,MLC Fund Scheme construction work of Maharana Pratap Memorial Gate,Under the MLC Fund Scheme construction work of Maharana Pratap Memorial Gate near Kalikarn on Amethi Kalikan road in Block Sangrampur,Please refer Tender documents. ,NA ,,Construction Works,Under MLC Fund Scheme Construction of Gate  ,Tender,90.0,90.0,Amethi,227405.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,23-Mar-2026 11:00 AM ,EE office up scidco,No ,No,1,Fee/PreQual/Technical,.pdf,"Under the MLC Fund Scheme, construction work of Maharana Pratap Memorial Gate near Kalikan on Amethi",AOC,EE,Internal,EE Asst Acct,Jagpal Verma,24-Apr-2026 03:10 PM,finsummary_2105160.pdf (375.72 KB),Technical,Technical Bid opening summary,Jagpal Verma,16-Apr-2026 11:06 AM,technical_2105160.pdf,EE,Internal,EE Asst Acct,Jagpal Verma,16-Apr-2026 11:07 AM,16-Apr-2026 12:00 PM,techsummary_2105160.pdf (275.82 KB),Finance,Financial Bid opening summary,Jagpal Verma,24-Apr-2026 03:08 PM,finance_2105160.pdf,BOQ Comparative Chart,1,6008606,AKASH CONSTRUCTION,26-Mar-2026 09:25 PM,Accepted-AOC,ok,24-Apr-2026 04:41 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1128695_1,623/E E/Ayo/E Tender/MLA FUND/25-26 20.03.2026,MLC Fund Scheme construction work of Maharana Pratap Memorial Gate,1.0,6008606.0,AKASH CONSTRUCTION,INR,"1,088,800",24-Apr-2026,"INR 1,088,800",90.0,Jagpal Verma,24-Apr-2026 04:41 PM,LOI.pdf (367.00 KB),MLC Fund Scheme construction work of Maharana Pratap Memorial Gate,AOC
,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6011168,VINAY PRAKASH TRIPATHI,26-Mar-2026 08:20 PM,Rejected-Finance,not ok,24-Apr-2026 03:10 PM,,,,,,,,,,,,,,,,,AOC
