Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,All Bids are admitted,Tota Ram,12-Jan-2026 09:27 PM,,BOQ Comparative Chart,1,5792246,ARYA CONSTRUCTION,06-Jan-2026 04:47 PM,Accepted-AOC,L-1,06-Apr-2026 04:36 PM,1.0,5792246.0,ARYA CONSTRUCTION,INR,"2,503,983","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1103946_1,472/AA-6/2025-26,Construction of road track and drain from Chhapeda Pulia intersection to Amit Singh house under Zone 06 Ward 52,09-Mar-2026,"INR 2,503,983",60.0,Tota Ram,06-Apr-2026 04:36 PM,472_1.pdf (115.00 KB),work order,EE-6,Internal,,Tota Ram,17-Jan-2026 09:03 PM,techsummary_2036281.pdf (42.02 KB),EE-6,Internal,,Tota Ram,17-Jan-2026 09:05 PM,finsummary_2036281.pdf (42.02 KB),AOC,ce knn,ce knn moti jheel,"Kanpur Municipal Corporation, Kanpur, UP",472/AA-6/2025-26,2026_NNKAN_1103946_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,05-Jan-2026 03:00 PM,08-Jan-2026 04:00 PM,05-Jan-2026 03:00 PM,08-Jan-2026 03:00 PM,NA ,NA ,05-Jan-2026 03:00 PM,08-Jan-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,AFFIDAVIT,1.0,SBI Bank,Construction of road track and drain from Chhapeda Pulia intersection to Amit Singh house under Zone 06 Ward 52,Construction of road track and drain from Chhapeda Pulia intersection to Amit Singh house under Zone 06 Ward 52,Please refer Tender documents. ,NA ,"30,00,000",Civil Works,NA ,Tender,180.0,60.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,"1,770",Nil,Nil,No,"3,00,000",No,percentage,10.0%,Nil,Nil,AOC
,,,,,,2,5792337,VINAY CONSTRUCTION AND DEVELOPERS,06-Jan-2026 05:49 PM,Rejected-Finance,L-2,17-Jan-2026 09:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
