Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
31-Mar-2027,"INR 1,309,000",351.0,sanjay yadav,15-Apr-2026 08:58 AM,CHANDAULI.pdf (544.00 KB),work order issued to vendor,1.0,6037101.0,M/S POOJA ENTERPRISES,INR,"1,309,000","Rajya Krishi Utpadan Mandi Parishad,UP||DDAM Varanasi||Chandauli Mandi",2026_RKUMP_1131247_1,315/SAFAYEE/NAVEEN MANDI/2026-27 DATE 28-03-2026,SAMPOORN NAMVEEN MANDI ASTHAL CHANDAULI KI SAAF SAFAYEE,1,6038253,M/S FAUJI ENTERPRISES,09-Apr-2026 12:54 PM,Rejected-Technical,Document is not completed,13-Apr-2026 12:31 PM,Finance,Financial bid open by committee,sanjay yadav,13-Apr-2026 01:22 PM,finance_2110591.pdf,BOQ Comparative Chart,SACHIV KRISHI UTAPADAN MANDI SAMITI,Internal,,sanjay yadav,13-Apr-2026 12:31 PM,13-Apr-2026 12:45 PM,techsummary_2110591.pdf (1037.05 KB),Technical,Technical Bid open of 6 Bidder by Committee,Hemant Kumar Singh,10-Apr-2026 04:18 PM,technical_2110591.pdf,SACHIV KRISHI UTAPADAN MANDI SAMITI,Internal,,sanjay yadav,15-Apr-2026 08:44 AM,finsummary_2110591.pdf (1037.05 KB),AOC,SAMPOORN NAMVEEN MANDI ASTHAL CHANDAULI KI SAAF SAFAYEE,SAMPOORN NAMVEEN MANDI ASTHAL CHANDAULI KI SAAF SAFAYEE,Please refer Tender documents. ,NA ,"15,40,000",Miscellaneous Services,NA ,Tender,90.0,NA ,CHANDAULI,232104.0,NA ,NA ,NA ,NAMVEEN MANDI CHANDAULI,No ,No,590.0,SACHIV KRISHI UTAPADAN MANDI SAMITI,CHANDAULI,No,1.0,DD - Demand Draft,04-Apr-2026 06:00 PM,10-Apr-2026 01:00 PM,04-Apr-2026 06:00 PM,10-Apr-2026 11:00 AM,NA ,NA ,04-Apr-2026 06:00 PM,10-Apr-2026 11:00 AM,13-Apr-2026 12:45 PM,"Rajya Krishi Utpadan Mandi Parishad,UP||DDAM Varanasi||Chandauli Mandi",315/SAFAYEE/NAVEEN MANDI/2026-27 DATE 28-03-2026,2026_RKUMP_1131247_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID DOOCUMENT,SACHIV KRISHI UTAPADAN MANDI SAMITI,NAMVEEN MANDI CHANDAULI,"1,54,000",No,fixed,,SACHIV KRISHI UTAPADAN MANDI SAMITI,CHANDAULI,AOC
,,,,,,,,,,,,,,,,2,6037101,M/S POOJA ENTERPRISES,09-Apr-2026 04:40 PM,Accepted-AOC,LOWEST AMOUNT,15-Apr-2026 08:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6038676,RAM PYARE SINGH,09-Apr-2026 08:13 PM,Rejected-Technical,Document is not completed,13-Apr-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6039550,SANJAY AND COMPANY,10-Apr-2026 06:25 AM,Rejected-Technical,Document is not completed,13-Apr-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6039142,S P CONSTRUCTION,09-Apr-2026 06:34 PM,Rejected-Technical,Document is not completed,13-Apr-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6039218,SRI RAM ENTERPRISES,09-Apr-2026 07:43 PM,Rejected-Technical,Document is not completed,13-Apr-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
