Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,360",UPSCIDCOLTD,Sultanpur,No,31-Mar-2026 02:00 PM,10-Apr-2026 01:00 PM,31-Mar-2026 02:00 PM,10-Apr-2026 12:00 PM,NA ,NA ,31-Mar-2026 02:00 PM,10-Apr-2026 12:00 PM,18-Apr-2026 11:25 AM,"1,49,000",No,fixed,,UPSCIDCOLTD,Sultanpur,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document",1,DD - Demand Draft,Superintending Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",9.00Mtr. Semi Highmast Light work at Block Dostpur and Kadipur at Distt. Sultanpur. (Vidhayak Nidhi work),9.00Mtr. Semi Highmast Light work at Block Dostpur and Kadipur at Distt. Sultanpur. (Vidhayak Nidhi work),9.00Mtr. Semi Highmast Light work at Block Dostpur and Kadipur at Distt. Sultanpur. (Vidhayak Nidhi work) ,NA ,,Electrical Works,NA ,Tender,90.0,180.0,Sultanpur,228001.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,1401/SE (E)/LKO/Sultanpur Nidhi/25-26,2026_SCIDC_1131973_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,18-Apr-2026 11:20 AM,18-Apr-2026 11:25 AM,techsummary_2112554.pdf (69.64 KB),Finance,Attached,Ram Nayan,18-Apr-2026 06:00 PM,finance_2112554.pdf,BOQ Comparative Chart,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,18-Apr-2026 06:09 PM,finsummary_2112554.pdf (69.64 KB),Technical,Attached,Ram Nayan,18-Apr-2026 11:17 AM,technical_2112554.pdf,1.0,6028151.0,M/S R P CONSTRUCTION,INR,"7,456,858.24",U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1131973_1,1401/SE (E)/LKO/Sultanpur Nidhi/25-26,9.00Mtr. Semi Highmast Light work at Block Dostpur and Kadipur at Distt. Sultanpur. (Vidhayak Nidhi work),1.0,6033577.0,ANOOP CONSTROCTION,06-Apr-2026 10:10 PM,Rejected-Finance,Quoted Amount Rate in high,18-Apr-2026 06:09 PM,20-Apr-2026,"INR 7,456,858.24",180.0,Ram Nayan,20-Apr-2026 07:23 PM,Karyadesh_1131973.pdf (799.00 KB),Attached,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6028151.0,M/S R P CONSTRUCTION,03-Apr-2026 04:35 PM,Accepted-AOC,Accepted,20-Apr-2026 07:23 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
