Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
500.0,BDO CHILKAHAR,CHILKAHAR,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,04-May-2026 05:43 PM,15-Apr-2026 04:00 PM,04-Apr-2026 03:00 PM,15-Apr-2026 03:00 PM,NA ,NA ,04-Apr-2026 03:00 PM,15-Apr-2026 03:00 PM,16-Apr-2026 10:00 AM,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,1224 Date 28-03-2026 Work No 12,2026_RDUP_1133262_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,BDO CHILKAHAR,BDO OFFICE CHILKAHAR,"10,960",No,fixed,,BDO CHILKAHAR,CHILKAHAR,graam sabha pahaadapur ke chaikaaree mein bhola ke ghar se sudarshan ke ghar tak dhakkan sahit naalee marammat va intaralaaking pevars blaak ka nirmaan kaary,graam sabha pahaadapur ke chaikaaree mein bhola ke ghar se sudarshan ke ghar tak dhakkan sahit naalee marammat va intaralaaking pevars blaak ka nirmaan kaary,NIT ,NA ,"5,48,000",Civil Works,NA ,Tender,90.0,90.0,KP CHILKAHAR,221701.0,NA ,NA ,NA ,BDO OFFICE CHILKAHAR,No ,No,AOC,16-Apr-2026,"INR 547,506.8",90.0,VINOD KUMAR BIND,16-Apr-2026 08:15 PM,12.pdf (61.00 KB),AOC,1.0,6048391.0,BHAGWAN VENKTES CONSTRUCTION AND SUPPLIERS,15-May-2026 05:43 PM,Rejected-AOC,L3,16-Apr-2026 08:15 PM,Finance,Bid Opening Summary,VINOD KUMAR BIND,16-Apr-2026 07:27 PM,,BOQ Comparative Chart,"VINOD KUMAR BIND, BDO PC BARANWAL, JE RED SURESH KUMAR, ACCOUNTANT",Internal,,VINOD KUMAR BIND,15-Apr-2026 07:35 PM,16-Apr-2026 10:00 AM,techsummary_2115363.pdf (201.39 KB),"VINOD KUMAR BIND, BDO PC BARANWAL, JE RED SURESH KUMAR, ACCOUNTANT",Internal,,VINOD KUMAR BIND,16-Apr-2026 05:43 PM,finsummary_2115363.pdf (201.39 KB),Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,2026_RDUP_1133262_1,1224 Date 28-03-2026 Work No 12,graam sabha pahaadapur ke chaikaaree mein bhola ke ghar se sudarshan ke ghar tak dhakkan sahit naalee marammat va intaralaaking pevars blaak ka nirmaan kaary,Technical,Bid Opening Summary,VINOD KUMAR BIND,15-Apr-2026 06:53 PM,,1.0,6044810.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,INR,"547,506.8",AOC
,,,,2,BC - Bankers Cheque,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,6045185.0,MAA ENTERPRISES,14-Apr-2026 12:42 AM,Rejected-AOC,L2,16-Apr-2026 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,6044810.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,13-Apr-2026 09:51 PM,Accepted-AOC,L1,16-Apr-2026 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
