Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2187/red/tender/unnao/25-26 dt- 10-02-2026,2026_REDUP_1123792_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"1,000",Nil,Nil,No,Vikash Khand Hasanganj me Gram Koraowara me Rameswar ke Ghar se Barjaesh singh ke Ghar tak Interlocking Raod evam Nali ka Nirman karye.,Vikash Khand Hasanganj me Gram Koraowara me Rameswar ke Ghar se Barjaesh singh ke Ghar tak Interlocking Raod evam Nali ka Nirman karye.,Plz Refer Doc ,NA ,"10,95,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,"21,900",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,11-Mar-2026 04:30 PM,18-Mar-2026 12:30 PM,11-Mar-2026 04:30 PM,18-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 04:30 PM,18-Mar-2026 12:00 PM,24-Mar-2026 02:20 PM,Er Narendra Chaudhary,Vikas Bhawan Unnao,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1123792_14,2187/red/tender/unnao/25-26 dt- 10-02-2026,Vikash Khand Hasanganj me Gram Koraowara me Rameswar ke Ghar se Barjaesh singh ke Ghar tak Interlocking Raod evam Nali ka Nirman karye.,1,5971325,M/S DIPTI KATIYAR,14-Mar-2026 05:57 AM,Rejected-AOC,l2,16-Apr-2026 04:52 PM,1.0,5969518.0,Rishi Prakash jaiswal,INR,"1,094,598.14",Finance,Sumamry,Narendra chaudhary,16-Apr-2026 04:48 PM,finance_2094133.pdf,BOQ Comparative Chart,Er Narendra Chaudhry,Internal,,Narendra chaudhary,16-Apr-2026 04:50 PM,finsummary_2094133.pdf (677.36 KB),Narendra Chaudhary,Internal,,Narendra chaudhary,24-Mar-2026 02:15 PM,24-Mar-2026 02:20 PM,techsummary_2094133.pdf (492.13 KB),Technical,Summary,Narendra chaudhary,24-Mar-2026 02:12 PM,technical_2094133.pdf,16-Apr-2026,"INR 1,094,598.14",90.0,Narendra chaudhary,16-Apr-2026 04:52 PM,Rameswar.pdf (677.00 KB),l1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,AOC,,,,,2,5969518,Rishi Prakash jaiswal,14-Mar-2026 04:25 PM,Accepted-AOC,l1,16-Apr-2026 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
