Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Surendra Mohan Verma,Internal,J.P. Singh,Surendra Mohan Verma,26-Mar-2026 12:32 PM,26-Mar-2026 01:00 PM,techsummary_2090038.pdf (2768.42 KB),Technical,Fee/PreQual/Technical,Surendra Mohan Verma,26-Mar-2026 12:28 PM,technical_2090038.pdf,09-Apr-2026,"INR 5,330,879.94",60.0,Surendra Mohan Verma,24-Apr-2026 07:58 PM,L_18.pdf (285.00 KB),AOC,1.0,Tender Revocation,Tender Revocation,26-Mar-2026 11:01 AM,revocake18.pdf ,198.09,Technical Opening,1,5969357,M/s Ganesh Enterprises,13-Mar-2026 02:58 AM,Rejected-Technical,As Per Uploaded,26-Mar-2026 12:32 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti",2026_UPIDC_1122380_18,04/SE/2025-26,Construction of Anti Erosion work Between Km. 0.830 to Km. 1.130 of Bansi-Panghatiya Bund on right bank of River Rapti in Distt. Siddharthnagar.,1.0,5968869.0,M/S UMA SHANKAR YADAV,INR,"5,330,879.94",Finance,Finance,Surendra Mohan Verma,28-Mar-2026 10:01 PM,finance_2090038.pdf,BOQ Comparative Chart,Surendra Mohan Verma,Internal,J.P. SINGH,Surendra Mohan Verma,28-Mar-2026 10:05 PM,finsummary_2090038.pdf (102.43 KB),AOC,1.0,Other,Other,,Superintending Engineer,"Superintending Engineer, Gandak Flood Circle, Basti","2,385",Nil,Nil,No,Construction of Anti Erosion work Between Km. 0.830 to Km. 1.130 of Bansi-Panghatiya Bund on right bank of River Rapti in Distt. Siddharthnagar.,Construction of Anti Erosion work Between Km. 0.830 to Km. 1.130 of Bansi-Panghatiya Bund on right bank of River Rapti in Distt. Siddharthnagar.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Siddharthnagar,272153.0,"Superintending Engineer, Gandak Flood Circle, Bast ","Superintending Engineer, Gandak Flood Circle, Basti ",07-Mar-2026 11:00 AM ,"Superintending Engineer, Gandak Flood Circle, Bast",No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti",04/SE/2025-26,2026_UPIDC_1122380_18,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,26-Mar-2026 01:00 PM,"2,06,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,5969421,M/s PRATIK ENTERPRISES,13-Mar-2026 06:47 AM,Rejected-Finance,L7,28-Mar-2026 10:05 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3,5965484,M/S SANTOSH KUMAR SINGH,12-Mar-2026 07:01 PM,Rejected-Technical,As Per Uploaded,26-Mar-2026 12:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,4,5967255,M/S SINGH CONSTRUCTION COMPANY,12-Mar-2026 10:11 PM,Rejected-Finance,L6,28-Mar-2026 10:05 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,5,5968948,M/S SOHRAT SINGH,12-Mar-2026 09:50 PM,Rejected-Finance,L5,28-Mar-2026 10:05 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,6,5968869,M/S UMA SHANKAR YADAV,12-Mar-2026 10:31 PM,Accepted-AOC,L1,24-Apr-2026 07:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,7,5969047,M/S virat constrution,13-Mar-2026 01:15 PM,Rejected-Finance,L3,28-Mar-2026 10:05 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,8,5968038,SHIVANAND SHUKLA,13-Mar-2026 12:17 PM,Rejected-Finance,L4,28-Mar-2026 10:05 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,9,5970069,SHIVENDRA CNSTRUCTION,13-Mar-2026 12:01 PM,Rejected-AOC,L2,24-Apr-2026 07:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,10,5968114,SHRI KANT MISHRA CONTRACTOR,12-Mar-2026 04:39 PM,Rejected-Technical,As Per Uploaded,26-Mar-2026 12:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
