Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,690-6,2026_DOLBU_1121886_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,550.0,EO NPP Hata,hata,No,05-Mar-2026 06:00 PM,17-Mar-2026 12:00 PM,06-Mar-2026 10:00 AM,16-Mar-2026 05:00 PM,NA ,NA ,06-Mar-2026 11:00 AM,16-Mar-2026 05:00 PM,20-Mar-2026 12:00 PM,"28,150",No,fixed,,EO NPP Hata,Hata,EO NPP Hata,EO NPP Hata,Construction Of RCC Drain And Slab,Construction Of RCC Drain And Slab Dinesh Tiwari To Chhathu yadav,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Ward No 16 Sarojanigar,274203.0,NA ,NA ,NA ,EO NPP Hata,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1,SS - Small Savings Instrument,AOC,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,30-Mar-2026 05:47 PM,finsummary_2088137.pdf (238.27 KB),Technical,Technical Bid opening summary,Meenu Singh,19-Mar-2026 06:08 PM,technical_2088137.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,19-Mar-2026 06:31 PM,20-Mar-2026 12:00 PM,techsummary_2088137.pdf (128.39 KB),Finance,Financial Bid opening summary,Meenu Singh,30-Mar-2026 03:44 PM,finance_2088137.pdf,1.0,5974771.0,A K ASSOCIATE,INR,"563,908",Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,2026_DOLBU_1121886_1,690-6,Construction Of RCC Drain And Slab,1,5974771,A K ASSOCIATE,15-Mar-2026 03:30 PM,Accepted-AOC,Lowest BID,03-Apr-2026 02:41 PM,01-Apr-2026,"INR 563,908",90.0,Meenu Singh,03-Apr-2026 02:41 PM,F6.pdf (216.00 KB),Crate Agreement On Stamp Paper and Complete the job 90 days,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5976790,M/S PANKJA CONSTRUCTION,16-Mar-2026 04:06 PM,Rejected-Finance,Highest BID,30-Mar-2026 05:47 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5975549,SAROJANI ASSOCIATES,15-Mar-2026 07:19 PM,Rejected-Finance,Highest BID,30-Mar-2026 05:47 PM,,,,,,,,AOC
