Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-7, bijnore",03/EE/2025-26,2026_UPIDC_1113144_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,M.G.C.C.D.-7 Bijnor,"16,000",Yes,fixed,,Nil,Nil,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,construction of 17 no. outlet km. 4.600 to km. 23.750 left and right bank of panwasa dy. (lLot-01),construction of 17 no. outlet km. 4.600 to km. 23.750 left and right bank of panwasa dy. (lLot-01),Please refer Tender documents. ,NA ,"7,78,000",Civil Works - Canal,NA ,Tender,60.0,NA ,sambhal,244304.0,NA ,NA ,NA ,M.G.C.C.D.-7 Bijnor,No ,No,09-Feb-2026 10:00 AM,17-Feb-2026 12:00 PM,09-Feb-2026 10:00 AM,16-Feb-2026 02:00 PM,NA ,NA ,09-Feb-2026 10:00 AM,16-Feb-2026 02:00 PM,19-Feb-2026 12:00 PM,1.0,SBI Bank,AOC,Himanshu Dharia,Internal,E.E.,sanjeet narayan upendra,21-Feb-2026 01:13 PM,finsummary_2060101.pdf (878.79 KB),Technical,Technical Bid,sanjeet narayan upendra,18-Feb-2026 05:04 PM,technical_2060101.pdf,Himanshu Dharia,Internal,E.E.,sanjeet narayan upendra,18-Feb-2026 05:27 PM,19-Feb-2026 12:00 PM,techsummary_2060101.pdf (878.79 KB),Finance,finacial bid,sanjeet narayan upendra,21-Feb-2026 12:45 PM,finance_2060101.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-7, bijnore",2026_UPIDC_1113144_5,03/EE/2025-26,construction of 17 no. outlet km. 4.600 to km. 23.750 left and right bank of panwasa dy. (lLot-01),1.0,5877681.0,BASERA DEVELOPERS,INR,"685,895.74",1.0,5877681.0,BASERA DEVELOPERS,16-Feb-2026 11:52 AM,Accepted-AOC,L1,30-Apr-2026 05:14 PM,20-Mar-2026,"INR 685,895.74",60.0,sanjeet narayan upendra,30-Apr-2026 05:14 PM,lot1.pdf (296.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5875792.0,M/S SUBHASH CHAND CONTRACTOR,15-Feb-2026 11:12 PM,Rejected-Finance,L2,21-Feb-2026 01:13 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
