Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur",05/SE/2025-26,2026_UPIDC_1122376_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"GANDAK IRRIGATION WORKS CIRCLE-2, GORAKHPUR(U.P)","19,60,000",No,fixed,,Nil,Nil,"6,354",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technica,Construction Of Revetment Between Km. 0.525 To 0.825 And Restoration Of Revetment Between Km. 0.825 To 1.000 And Laying 3 Row R.C.C. Porcupine Between Km. 0.525 To 1.000 Of Narwajot Bund Situated On Right Bank Of River Great Gandak In District-Kush,Construction Of Revetment Between Km. 0.525 To 0.825 And Restoration Of Revetment Between Km. 0.825 To 1.000 And Laying 3 Row R.C.C. Porcupine Between Km. 0.525 To 1.000 Of Narwajot Bund Situated On Right Bank Of River Great Gandak In District-Kush,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,KUSHINAGAR,274403.0,GORAKHPUR ,"OFFICE OF SUPERINTENDING ENGINEER, GANDAK IRRIGATION WORKS CIRCLE-2, GORAKHPUR(U.P) ",07-Mar-2026 11:00 AM ,GORAKHPUR,No ,No,07-Mar-2026 09:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:00 PM,25-Mar-2026 05:15 PM,1.0,SBI Bank,AOC,1.0,5967945.0,M/S UDAI PRATAP SINGH,INR,"84,781,440.83",Finance,AS UPLOADED,Jaya Prakash Singh,25-Mar-2026 05:44 PM,,BOQ Comparative Chart,J.P. Singh,Internal,Alok Kumar,Jaya Prakash Singh,25-Mar-2026 06:30 PM,finsummary_2089955.pdf (295.41 KB),1,5969320,M/S AJIT CONSTRUCTION AND ORDER SUPPLIER,13-Mar-2026 06:26 AM,Rejected-Technical,AS UPLOADED,23-Mar-2026 05:04 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur",2026_UPIDC_1122376_18,05/SE/2025-26,Construction Of Revetment Between Km. 0.525 To 0.825 And Restoration Of Revetment Between Km. 0.825 To 1.000 And Laying 3 Row R.C.C. Porcupine Between Km. 0.525 To 1.000 Of Narwajot Bund Situated On Right Bank Of River Great Gandak In District-Kush,31-Mar-2026,"INR 84,781,440.83",90.0,Jaya Prakash Singh,09-Apr-2026 04:34 PM,25.pdf (574.00 KB),Technical,AS UPLOADED,Jaya Prakash Singh,23-Mar-2026 04:56 PM,,J.P. Singh,Internal,Alok Kumar,Jaya Prakash Singh,23-Mar-2026 05:04 PM,25-Mar-2026 05:15 PM,techsummary_2089955.pdf (1793.63 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5967945,M/S UDAI PRATAP SINGH,13-Mar-2026 01:16 PM,Accepted-AOC,AS UPLOADED,09-Apr-2026 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,5961568,Rakesh Kumar Rai,13-Mar-2026 06:36 AM,Rejected-AOC,AS UPLOADED,09-Apr-2026 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
