EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"20,000",No,fixed,,Nil,Nil,856.0,Nil,Nil,No,1.0,SBI Bank,Construction of C.C. Road work from Pathwari mandir to jhopadi badi towards at vill- Sujapur .,Construction of C.C. Road work from Pathwari mandir to jhopadi badi towards at vill- Sujapur .,Please refer Tender documents. ,NA ,"9,90,000",Civil Works,NA ,Tender,90.0,90.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,09-Mar-2026 11:00 AM ,EE RED BSR,No ,No,28-Feb-2026 12:00 PM,12-Mar-2026 04:00 PM,28-Feb-2026 12:00 PM,11-Mar-2026 12:00 PM,NA ,NA ,28-Feb-2026 12:00 PM,11-Mar-2026 12:00 PM,20-Mar-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,T1,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1642/RED/Tender/ 2025-26/Dt 10/02/26,2026_REDUP_1119481_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED BSR,EE RED BSR,AOC,EE RED BSR,Internal,EE And DAO,Vishnoo Kumar,17-Apr-2026 01:03 PM,finsummary_2081674.pdf (60.61 KB),Technical,summarysujapur,Vishnoo Kumar,17-Mar-2026 04:06 PM,technical_2081674.pdf,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,17-Mar-2026 04:34 PM,20-Mar-2026 12:00 PM,techsummary_2081674.pdf (562.14 KB),Finance,summarysujapur,Vishnoo Kumar,17-Apr-2026 01:01 PM,finance_2081674.pdf,BOQ Comparative Chart,1,5952457,GANDHARV KUMAR SHARMA,07-Mar-2026 05:24 PM,Rejected-Finance,L2,17-Apr-2026 01:03 PM,1.0,5950950.0,K.K. CONSTRUCTION,INR,"989,504",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1119481_1,1642/RED/Tender/ 2025-26/Dt 10/02/26,Construction of C.C. Road work from Pathwari mandir to jhopadi badi towards at vill- Sujapur .,17-Apr-2026,"INR 989,504",90.0,Vishnoo Kumar,17-Apr-2026 01:16 PM,Bonsujapur.pdf (362.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5950950,K.K. CONSTRUCTION,07-Mar-2026 04:00 PM,Accepted-AOC,L1,17-Apr-2026 01:15 PM,,,,,,,,,,,,,,,,AOC
