Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
30-Mar-2026,"INR 20,990,749",90.0,Bhupendra Pratap Singh,14-Apr-2026 02:28 PM,Lot04DOS.pdf (222.00 KB),Contract value including 18 percent GST,1.0,5971046.0,M/S PARBHAT ENTERPRISES,INR,"20,990,749",U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Drainage Circle Ghaziabad,2026_UPIDC_1122007_4,07/SE/2025-26,07/se/2025-26,1,5974959,GANPATI CONSTRUCTIONS,16-Mar-2026 02:19 PM,Rejected-Technical,Rejected,21-Mar-2026 08:15 PM,Finance,03 bid admitted,Bhupendra Pratap Singh,24-Mar-2026 10:34 PM,finance_2088742.pdf,BOQ Comparative Chart,Bhupender Pratap Singh,Internal,SE IIIrd Circle Agra,Bhupendra Pratap Singh,21-Mar-2026 08:15 PM,24-Mar-2026 03:00 PM,techsummary_2088742.pdf (405.06 KB),Technical,05 bids admitted,Bhupendra Pratap Singh,21-Mar-2026 08:09 PM,technical_2088742.pdf,Bhupendra Pratap Singh,Internal,SE IIIrd Circle Agra,Bhupendra Pratap Singh,30-Mar-2026 01:58 PM,finsummary_2088742.pdf (549.71 KB),AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Docs,1.0,Date Corrigendum,Date,,06-Mar-2026 03:00 PM,17-Mar-2026 11:00 AM,06-Mar-2026 03:00 PM,16-Mar-2026 05:00 PM,NA ,NA ,06-Mar-2026 03:00 PM,16-Mar-2026 05:00 PM,24-Mar-2026 03:00 PM,"2,714",Nil,Nil,No,07/se/2025-26,Strengthening work of spurs and studs located on Yamuna Badi Ring Bund situated on the left bank of Yamuna River in district Shamli.,Please refer Tender documents. ,NA ,"2,73,25,000",Civil Works,NA ,Tender,90.0,90.0,Shamli,247776.0,Office of S.E.Drainage Circle gzb Meerut  ,"Office of SE, Drainage Circle Ghaziabad (Meerut) ",10-Mar-2026 01:00 PM ,Meerut,No ,No,Superintending Engineer Drainage Circle Gzb,near Victoria Park Colony Meerut,"5,50,000",No,fixed,,Nil,Nil,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Drainage Circle Ghaziabad,07/SE/2025-26,2026_UPIDC_1122007_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,5978727,GOMATINETRA CONSTRUCTIONS,16-Mar-2026 04:49 PM,Rejected-AOC,L2,14-Apr-2026 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Boq,2.0,Financial Bid Opening Date Corrigendum,Financial Bid Opening Date Corrigendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5972911,gopi constech pvt. ltd.,15-Mar-2026 07:43 PM,Rejected-Technical,Rejected,21-Mar-2026 08:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5973490,J P INFRATECH,16-Mar-2026 12:24 PM,Rejected-AOC,L3,14-Apr-2026 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5971046,M/S PARBHAT ENTERPRISES,16-Mar-2026 12:15 PM,Accepted-AOC,Contract value including 18 percent GST,14-Apr-2026 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
