EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"4,62,000",No,fixed,,Nil,Nil,Anti-erosion work for the protection of village Pyas Gautiya etc. village group situated on the right bank of Devha river in Pilibhit district.,Anti-erosion work for the protection of village Pyas Gautiya etc. village group situated on the right bank of Devha river in Pilibhit district.,Please refer Tender documents. ,NA ,"2,30,94,000",Civil Works,NA ,Tender,90.0,90.0,Pilibhit,262001.0,Lakhimpur ,SE Flood Circle Lakhimpur Kheri ,10-Mar-2026 01:00 PM ,SE Flood Circle Lakhimpur Kheri,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical,"2,715",Nil,Nil,No,09-Mar-2026 09:00 AM,16-Mar-2026 04:00 PM,09-Mar-2026 09:15 AM,16-Mar-2026 02:00 PM,NA ,NA ,09-Mar-2026 11:00 AM,16-Mar-2026 02:00 PM,24-Mar-2026 09:00 AM,SE,SE Flood Circle Lakhimpur Kheri,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",03/SE/2025-26,2026_UPIDC_1122699_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,1.0,5975264.0,LAIQUE AHMAD,INR,"13,846,813",Anil Kumar Niranjan,Internal,Om prakash verma,Anil Kumar Niranjan,25-Mar-2026 12:20 PM,finsummary_2090960.pdf (25.63 KB),Finance,Financial Evaluation,Anil Kumar Niranjan,24-Mar-2026 11:47 AM,,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Flood Circle, Lakhimpur Khiri",2026_UPIDC_1122699_15,03/SE/2025-26,Anti-erosion work for the protection of village Pyas Gautiya etc. village group situated on the right bank of Devha river in Pilibhit district.,1,5973024,ARUN SINGH,16-Mar-2026 12:56 PM,Rejected-Finance,L8,25-Mar-2026 12:20 PM,09-Apr-2026,"INR 13,846,813",90.0,Anil Kumar Niranjan,23-Apr-2026 03:26 PM,LOT15LAEEKAHMEDPYASGOTIYA.pdf (527.00 KB),AOC,Technical,Technical Evaluation,Anil Kumar Niranjan,16-Mar-2026 08:48 PM,,Anil Kumar Niranjan,Internal,Om Prakash Verma,Anil Kumar Niranjan,21-Mar-2026 07:29 PM,24-Mar-2026 09:00 AM,techsummary_2090960.pdf (331.20 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5977806,Arvind Kumar,16-Mar-2026 01:44 PM,Rejected-Technical,Reject,21-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5974046,ATUL KUMAR GUPTA,16-Mar-2026 11:22 AM,Rejected-Finance,L3,25-Mar-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,5971258,BHAMAR SINGH,15-Mar-2026 12:21 PM,Rejected-Finance,L4,25-Mar-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,5974506,Harjinder Singh narwal,16-Mar-2026 01:34 PM,Rejected-Finance,L5,25-Mar-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,5975264,LAIQUE AHMAD,16-Mar-2026 12:26 AM,Accepted-AOC,Accepted,23-Apr-2026 03:27 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,5970272,M/s. Badri Prasad,16-Mar-2026 12:42 PM,Rejected-Technical,Reject,21-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,5973463,MS BIJENDRA SINGH CONTRACTOR,16-Mar-2026 08:35 AM,Rejected-Technical,Reject,21-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,5976190,M/s MAHAKAAL ASSOCIATES,16-Mar-2026 11:28 AM,Rejected-Finance,L2,25-Mar-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,5975602,MS ROAD LINES INDIA PVT LTD,15-Mar-2026 09:51 PM,Rejected-Finance,L7,25-Mar-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,AOC
