S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,SBI Bank,"17,800",No,fixed,,Nil,Nil,G.P. Gendpur ke majra Karimgaon me Indal Chaurasiya ke ghar se Narayan Gautam ke ghar ke paas tak nali evam interlocking nirman ka karya-Nawabganj_33,G.P. Gendpur ke majra Karimgaon me Indal Chaurasiya ke ghar se Narayan Gautam ke ghar ke paas tak nali evam interlocking nirman ka karya-Nawabganj_33,Please refer Tender documents. ,NA ,"8,89,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,Office of the E.E. R.E.D. Bahraich,No ,No,24-Feb-2026 12:00 PM,10-Mar-2026 12:30 PM,24-Feb-2026 12:00 PM,10-Mar-2026 12:00 PM,NA ,NA ,24-Feb-2026 12:00 PM,10-Mar-2026 12:00 PM,17-Mar-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical bid document,Executive Engineer,Office of the E.E. R.E.D. Bahraich,788.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",2026_REDUP_1119239_33,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,5951825.0,RAJ ENTERPRISES,INR,"1,048,936.74",Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,18-Mar-2026 02:26 PM,finsummary_2081071.pdf (395.51 KB),Finance,Financial bid open,Sujit Kumar Sinha,18-Mar-2026 12:15 AM,finance_2081071.pdf,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1119239_33,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",G.P. Gendpur ke majra Karimgaon me Indal Chaurasiya ke ghar se Narayan Gautam ke ghar ke paas tak nali evam interlocking nirman ka karya-Nawabganj_33,1,5951856,M/s Vaishnavi Construction,08-Mar-2026 03:38 PM,Rejected-Finance,High,18-Mar-2026 02:26 PM,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,16-Mar-2026 03:56 PM,17-Mar-2026 12:00 PM,techsummary_2081071.pdf (426.59 KB),23-Mar-2026,"INR 1,048,936.74",180.0,Sujit Kumar Sinha,08-Apr-2026 12:27 PM,Document2.pdf (26.00 KB),Technical,Technical bid open,Sujit Kumar Sinha,10-Mar-2026 03:15 PM,technical_2081071.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5951825,RAJ ENTERPRISES,07-Mar-2026 03:49 PM,Accepted-AOC,AOC,08-Apr-2026 12:27 PM,,,,,,,,,,,,,,,,,,,AOC
