Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,3000 /EE Basti /E-Tender /Vidhayak Nidhi Kaptanganj /2025-26 Date 19 -02-2026,2026_SCIDC_1118294_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT,20-Feb-2026 09:00 AM,27-Feb-2026 02:00 PM,20-Feb-2026 09:00 AM,27-Feb-2026 01:00 PM,20-Feb-2026 09:00 AM ,27-Feb-2026 01:00 PM ,20-Feb-2026 09:00 AM,27-Feb-2026 01:00 PM,19-Mar-2026 09:00 AM,Construction of Interlocking Road work at Badhni Chilma Sampark marg Se Vashishtha Aashram Mandir Tak Distt Basti ( Vidhayak Nidhi Kaptanganj),Construction of Interlocking Road work at Badhni Chilma Sampark marg Se Vashishtha Aashram Mandir Tak Distt Basti ( Vidhayak Nidhi Kaptanganj),As Given in NIT ,NA ,"12,25,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",24-Feb-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,"24,500",No,fixed,,UPSCIDCO,BASTI,"1,652",UPSCIDCO,BASTI,No,1,FDR - Fixed Deposit,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",AOC,Finance,M/s AKSHITA CONSTRUCTION Found L1,Ramesh Bahadur Shahi,24-Mar-2026 05:31 PM,finance_2078501.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,18-Mar-2026 06:19 PM,19-Mar-2026 09:00 AM,techsummary_2078501.pdf (429.09 KB),Technical,M/s AKSHITA CONSTRUCTION and Ms/ SHREE RAM MAKERS Found,Ramesh Bahadur Shahi,18-Mar-2026 06:17 PM,technical_2078501.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,24-Mar-2026 05:32 PM,finsummary_2078501.pdf (514.89 KB),02-Apr-2026,"INR 1,224,387",90.0,Ramesh Bahadur Shahi,02-Apr-2026 02:22 PM,LoiBadhni.pdf (1147.00 KB),M/s Akshita Construction Found L1,1,5930467,AKSHITA CONSTRUCTION,26-May-2026 05:14 PM,Accepted-AOC,L1,02-Apr-2026 02:22 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1118294_1,3000 /EE Basti /E-Tender /Vidhayak Nidhi Kaptanganj /2025-26 Date 19 -02-2026,Construction of Interlocking Road work at Badhni Chilma Sampark marg Se Vashishtha Aashram Mandir Tak Distt Basti ( Vidhayak Nidhi Kaptanganj),1.0,5930467.0,AKSHITA CONSTRUCTION,INR,"1,224,387",AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5933147,SHREE RAM MAKERS,26-Feb-2026 02:39 PM,Rejected-Finance,L2,24-Mar-2026 05:32 PM,,,,,,,,,,AOC
