Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
01-Apr-2026 09:00 AM,06-Apr-2026 12:00 PM,01-Apr-2026 10:00 AM,06-Apr-2026 11:30 AM,NA ,NA ,01-Apr-2026 10:00 AM,06-Apr-2026 11:30 AM,10-Apr-2026 01:35 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical,"14,65,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Other,,"Superintending Engineer, Drainage Circle, Ballia","Superintending Engineer, Drainage Circle, Ballia","6,354",Nil,Nil,No,Flood protection work for village Maharajpur at right bank of Saryu river in district Ballia,Flood protection work for village Maharajpur at right bank of Saryu river in district Ballia,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Balllia,277001.0,NA ,NA ,NA ,Online,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Drainage Circle, Ballia",07/S.E./2025-26,2026_UPIDC_1122392_17,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC,1.0,6030233.0,Radheshyam Dubey,INR,"49,645,882",A.K.Singh,Internal,S.M.Verma,ashok singh,10-Apr-2026 03:17 PM,finsummary_2112877.pdf (59.93 KB),Finance,As uploaded,ashok singh,10-Apr-2026 02:38 PM,finance_2112877.pdf,BOQ Comparative Chart,1,6030858,ASHUTOSH KUMAR VERMA,05-Apr-2026 09:32 PM,Rejected-Finance,L9,10-Apr-2026 03:17 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Drainage Circle, Ballia",2026_UPIDC_1122392_17,07/S.E./2025-26,Flood protection work for village Maharajpur at right bank of Saryu river in district Ballia,15-Apr-2026,"INR 49,645,882",90.0,ashok singh,24-Apr-2026 04:53 PM,radhe.pdf (1725.00 KB),As uploaded,Technical,As uploaded,ashok singh,08-Apr-2026 01:30 PM,technical_2112877.pdf,A.K.Singh,Internal,S.M.Verma,ashok singh,08-Apr-2026 01:34 PM,10-Apr-2026 01:35 PM,techsummary_2112877.pdf (660.79 KB),AOC
,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6031624,M/S ABHAY ASSOCIATES,06-Apr-2026 10:44 AM,Rejected-Finance,L4,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,6029757,M/S BABY SHAHI,06-Apr-2026 10:58 AM,Rejected-Finance,L7,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,6027060,M/S GOPAL RAI,06-Apr-2026 10:43 AM,Rejected-Finance,L8,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,6031750,M/s Nav Bharat Construction,06-Apr-2026 11:08 AM,Rejected-Finance,L5,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,6031626,M/S PRABHAT TRADERS,06-Apr-2026 10:19 AM,Rejected-Finance,L11,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,6030270,M/s Ramesh Tiwari,05-Apr-2026 02:29 PM,Rejected-Finance,L10,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,8,6030176,M/s SARKAR BAHADUR SINGH,05-Apr-2026 01:07 PM,Rejected-Finance,L6,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,6030597,PRATAP CONSTRUCTION,06-Apr-2026 11:05 AM,Rejected-Finance,L3,10-Apr-2026 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,6030233,Radheshyam Dubey,05-Apr-2026 01:53 PM,Accepted-AOC,L1,24-Apr-2026 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
