Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Gorakhpur",2026_UPIDC_1122384_4,04/SE/2025-26,ANTI EROSION WORK BETWEEN KM 18.050 TO KM 18.350 OF BELSAR RIGAULI BUND ON LEFT BANK OF RIVER RAPTI IN DIST. GORAKHPUR,1.0,5962897.0,Ram Sewak Singh,INR,"35,385,135.71",1,5969207,M/S CHANDRAMOHAN UPADHYAY,13-Mar-2026 11:53 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Mar-2026 01:17 AM,30-Mar-2026,"INR 35,385,135.71",90.0,Kiran Pal Singh Verma,22-Apr-2026 06:12 PM,aoc_04.pdf (391.00 KB),as per uploaded,SE GANDAK FLOOD CIRCLE GORAKHPUR,Internal,SE DRAINAGE CIRCLE BALLIA,Kiran Pal Singh Verma,29-Mar-2026 03:26 PM,finsummary_2089957.pdf (660.76 KB),Technical,As uploaded,Kiran Pal Singh Verma,21-Mar-2026 01:17 AM,technical_2089957.pdf,SE Gandak Flood Circle Gorakhpur,Internal,SE Drainage Circle Balia,Kiran Pal Singh Verma,21-Mar-2026 01:20 AM,23-Mar-2026 10:00 AM,techsummary_2089957.pdf (660.76 KB),Finance,as uploaded,Kiran Pal Singh Verma,26-Mar-2026 05:14 PM,finance_2089957.pdf,BOQ Comparative Chart,AOC,SE GANDAK FLOOD CIRCLE GORAKHPUR,SE GANDAK FLOOD CIRCLE GORAKHPUR,"5,422",Nil,Nil,No,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,23-Mar-2026 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,ANTI EROSION WORK BETWEEN KM 18.050 TO KM 18.350 OF BELSAR RIGAULI BUND ON LEFT BANK OF RIVER RAPTI IN DIST. GORAKHPUR,ANTI EROSION WORK BETWEEN KM 18.050 TO KM 18.350 OF BELSAR RIGAULI BUND ON LEFT BANK OF RIVER RAPTI IN DIST. GORAKHPUR,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,NA ,GORAKHPUR,273009.0,GORAKHPUR ,SE GANDAK FLOOD CIRCLE GORAKHPUR ,07-Mar-2026 11:00 AM ,SE GANDAK FLOOD CIRCLE GORAKHPUR,No ,No,1.0,SBI Bank,"8,14,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Gorakhpur",04/SE/2025-26,2026_UPIDC_1122384_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5963113,M/s G.S.P.S. Construction Company,13-Mar-2026 12:58 PM,Rejected-Finance,ATTACHED,29-Mar-2026 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5969620,M/S RAI ASSOCIATES,13-Mar-2026 11:28 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Mar-2026 01:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5962897,Ram Sewak Singh,13-Mar-2026 01:44 PM,Accepted-AOC,as uploaded,22-Apr-2026 06:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
