Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
11-Apr-2026,"INR 259,380",60.0,Shiv Kumar,11-Apr-2026 02:40 PM,2.pdf (147.00 KB),1.0,6027088.0,FAIZUL HAQ,02-Apr-2026 04:01 PM,Rejected-AOC,L2,11-Apr-2026 02:40 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1124379_1,1298/NP/NV/RVA/2025-26,2-npp sandila me wno 1 me sundar ke makan se shivraj singh ke makan tak cc sadak va nali nirman karya,1.0,6027049.0,M/S OM CONSTRUCTIONS,INR,"259,380",Technical,3 admitted,Shiv Kumar,09-Apr-2026 01:59 PM,,eo and je,Internal,,Shiv Kumar,11-Apr-2026 02:38 PM,finsummary_2095300.pdf (146.85 KB),Finance,OM CONSTRUCTIONS winner,Shiv Kumar,10-Apr-2026 01:00 PM,,BOQ Comparative Chart,eo and je,Internal,,gaurav Shukla,10-Apr-2026 11:36 AM,10-Apr-2026 11:40 AM,techsummary_2095300.pdf (107.82 KB),AOC,1,DD - Demand Draft,260.0,adhishashi adhikari nagar palika parishad,sandila,No,13-May-2026 06:11 PM,04-Apr-2026 12:00 PM,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,NA ,NA ,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,10-Apr-2026 06:11 PM,EO and JE,sandila,"22,200",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,2-npp sandila me wno 1 me sundar ke makan se shivraj singh ke makan tak cc sadak va nali nirman karya,2-npp sandila me wno 1 me sundar ke makan se shivraj singh ke makan tak cc sadak va nali nirman karya,Please refer Tender documents. ,NA ,"2,62,000",Civil Works,NA ,Tender,30.0,60.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,1.0,Fee/PreQual/Technical,.pdf,tech,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,1298/NP/NV/RVA/2025-26,2026_DOLBU_1124379_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,2.0,6027049.0,M/S OM CONSTRUCTIONS,02-Apr-2026 04:09 PM,Accepted-AOC,L1,11-Apr-2026 02:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,3.0,6027119.0,STAR BUILDERS & SUPPLIERS,02-Apr-2026 04:26 PM,Rejected-AOC,L2,11-Apr-2026 02:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
