Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1110031_1,1463_02/Mlay/KHERI/2025-26,"Interlock and drainage construction work from house of Ajay Gupta at Madrasa in Arjun Nagar Colony, Gram Panchayat Gola Dehat, to house of Murari Lal and from there to house of Iqrar. Block Gola",1.0,5900408.0,NEERAJ CONSTRUCTION AND SUPPLIER,INR,"1,670,531",1,5900408,NEERAJ CONSTRUCTION AND SUPPLIER,20-Feb-2026 09:14 AM,Accepted-AOC,Accepted,01-Apr-2026 02:30 PM,12-Mar-2026,"INR 1,670,531",60.0,Rajendra Nath Chaturvedi,01-Apr-2026 02:29 PM,AOC_1463_02.pdf (424.00 KB),Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,03-Mar-2026 11:03 AM,finsummary_2049926.pdf (933.07 KB),Technical,Recommended for Technical Evaluation,Hemant Saxena,20-Feb-2026 03:09 PM,technical_2049926.pdf,Hemant Saxena,Internal,,RaviShanker Srivastava,23-Feb-2026 11:47 AM,25-Feb-2026 12:00 PM,techsummary_2049926.pdf (273.00 KB),Finance,Recommended for Financial Evaluation,RaviShanker Srivastava,25-Feb-2026 06:59 PM,finance_2049926.pdf,BOQ Comparative Chart,AOC,13-Feb-2026 12:00 PM,20-Feb-2026 12:30 PM,13-Feb-2026 12:00 PM,20-Feb-2026 12:00 PM,NA ,NA ,13-Feb-2026 12:00 PM,20-Feb-2026 12:00 PM,25-Feb-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical PDF,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1463_02/Mlay/KHERI/2025-26,2026_REDUP_1110031_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"34,000",No,fixed,,Nil,Nil,944.0,Nil,Nil,No,"Interlock and drainage construction work from house of Ajay Gupta at Madrasa in Arjun Nagar Colony, Gram Panchayat Gola Dehat, to house of Murari Lal and from there to house of Iqrar. Block Gola","Interlock and drainage construction work from house of Ajay Gupta at Madrasa in Arjun Nagar Colony, Gram Panchayat Gola Dehat, to house of Murari Lal and from there to house of Iqrar. Block Gola",Please Refer Tender Document ,NA ,"16,70,700",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,AOC
,,,,,,,,,2,5898351,RAJ KUMAR GIRI,19-Feb-2026 08:29 PM,Rejected-Finance,2nd Lowest Bidder,03-Mar-2026 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
