S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,DD - Demand Draft,"21,000",No,fixed,,UPSCIDCOLTD,Shravasti,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)4th,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)4th,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)4th ,NA ,,Electrical Works,NA ,Tender,90.0,90.0,Shravasti,271805.0,NA ,NA ,NA ,Bahraich,No ,No,"1,655",UPSCIDCOLTD,shravasti,No,1.0,Fee/PreQual/Technical,.pdf,Tender fee EMD and Document,Executive Engineer (E),UPSCIDCO LTD Tikoni Bagh police chauki Siddiqui Masjid ke pass Najirpur Bahraich,18-Mar-2026 09:00 AM,25-Mar-2026 02:00 PM,18-Mar-2026 09:00 AM,25-Mar-2026 12:00 PM,NA ,NA ,18-Mar-2026 09:00 AM,25-Mar-2026 12:00 PM,01-Apr-2026 04:45 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Lucknow,94/EE(E)/Shravasti/E-Ten/25-26,2026_SCIDC_1126645_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Date,Date,,AOC,Finance,Attached,Sudhir Kumar,02-Apr-2026 04:08 PM,finance_2101073.pdf,BOQ Comparative Chart,Shri Sudhir Kumar,Internal,Attached,Sudhir Kumar,01-Apr-2026 04:40 PM,01-Apr-2026 04:45 PM,techsummary_2101073.pdf (56.73 KB),Technical,Attached,Sudhir Kumar,01-Apr-2026 04:08 PM,technical_2101073.pdf,Shri Sudhir Kumar,Internal,Attached,Sudhir Kumar,02-Apr-2026 05:04 PM,finsummary_2101073.pdf (56.73 KB),06-Apr-2026,"INR 1,050,948",90.0,Sudhir Kumar,18-Apr-2026 06:42 PM,Karyadeshsravasti_4.pdf (708.00 KB),Attached,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Lucknow,2026_SCIDC_1126645_1,94/EE(E)/Shravasti/E-Ten/25-26,10Mtr. Highmast Light work at Various Blocks at Distt. Shravasti (Vidhayak Nidhi work)4th,1.0,5996363.0,M/S SWARAJSHAKTI INDUSTRIES PRIVATE LIMITED,INR,"1,050,948",1.0,6000633.0,Excellent Constructions,24-Mar-2026 11:50 AM,Rejected-Finance,Quoted Amount Rate in high,02-Apr-2026 05:04 PM,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5996363.0,M/S SWARAJSHAKTI INDUSTRIES PRIVATE LIMITED,24-Mar-2026 04:22 PM,Accepted-AOC,Accepted,18-Apr-2026 06:42 PM,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
