Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
EO NPP Hata,EO NPP Hata,"1,250",EO NPP Hata,Hata,No,Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,694-6,2026_DOLBU_1122248_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,SS - Small Savings Instrument,06-Mar-2026 06:00 PM,19-Mar-2026 12:00 PM,07-Mar-2026 10:00 AM,18-Mar-2026 05:00 PM,NA ,NA ,07-Mar-2026 11:00 AM,18-Mar-2026 05:00 PM,30-Mar-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,Construction Of CC Road and Drain,Construction Of CC Road and Drain Motichand gupta To Omprakash yadav,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,90.0,ward no 12 sharadanagar,274203.0,NA ,NA ,NA ,EO NPP Hata,No ,No,"61,150",No,fixed,,EO NPP Hata,Hata,AOC,Technical,Technical Bid opening summary,Meenu Singh,28-Mar-2026 05:45 PM,technical_2089491.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,03-Apr-2026 06:37 PM,finsummary_2089491.pdf (301.93 KB),Finance,Financial Bid opening summary,Meenu Singh,03-Apr-2026 05:15 PM,finance_2089491.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,28-Mar-2026 06:19 PM,30-Mar-2026 12:00 PM,techsummary_2089491.pdf (196.76 KB),04-Apr-2026,"INR 1,222,190",90.0,Meenu Singh,04-Apr-2026 05:32 PM,F6.pdf (100.00 KB),Crate Agreement On Stamp Paper and Complete the job 90 days,1.0,5984098.0,SAROJANI ASSOCIATES,INR,"1,222,190",Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,2026_DOLBU_1122248_1,694-6,Construction Of CC Road and Drain,1.0,5983900.0,M/S PANKJA CONSTRUCTION,18-Mar-2026 08:23 AM,Rejected-Finance,Highest BID,03-Apr-2026 06:37 PM,AOC
,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5984098.0,SAROJANI ASSOCIATES,18-Mar-2026 09:45 AM,Accepted-AOC,Lowest BID,04-Apr-2026 05:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
