Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
500.0,BDO SIAR,SIAR,No,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Siar,1975 Date 28-03-2026 Work No-4,2026_RDUP_1131550_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,baliya sonaulee pich rod se madanapaal sinh ke khet hote hue bee0 es 0 ena0 el taavar jaane vaale raaste par pooliya ka nirmaan kaary,baliya sonaulee pich rod se madanapaal sinh ke khet hote hue bee0 es 0 ena0 el taavar jaane vaale raaste par pooliya ka nirmaan kaary,NIT ,NA ,"10,00,000",Civil Works,NA ,Tender,90.0,90.0,KP SIAR,221715.0,NA ,NA ,NA ,BDO OFFICE SIAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,BDO SIAR,BDO OFFICE SIAR,1,DD - Demand Draft,"20,000",No,percentage,2.0%,BDO SIAR,SIAR,30-Mar-2026 11:00 AM,06-Apr-2026 04:00 PM,30-Mar-2026 11:00 AM,06-Apr-2026 03:00 PM,NA ,NA ,30-Mar-2026 11:00 AM,06-Apr-2026 03:00 PM,09-Apr-2026 01:00 PM,AOC,"FAISAL ALAM, BDO, DILIP KUMAR KHARWAR, JE RED, MANOJ KUMAR SINGH, ADO P",Internal,,FAISAL ALAM,09-Apr-2026 02:52 PM,finsummary_2111437.pdf (145.56 KB),Technical,Bid Opening Summary,FAISAL ALAM,09-Apr-2026 11:44 AM,,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Siar,2026_RDUP_1131550_1,1975 Date 28-03-2026 Work No-4,baliya sonaulee pich rod se madanapaal sinh ke khet hote hue bee0 es 0 ena0 el taavar jaane vaale raaste par pooliya ka nirmaan kaary,1.0,6031047.0,VISEN ASSOCIATE,INR,"999,200",1.0,6030917.0,ASHIRWAD ASSOCIATE,05-Apr-2026 10:28 PM,Rejected-AOC,L3,09-Apr-2026 03:08 PM,09-Apr-2026,"INR 999,200",90.0,FAISAL ALAM,09-Apr-2026 03:08 PM,4.pdf (57.00 KB),AOC,Finance,Bid Opening Summary,FAISAL ALAM,09-Apr-2026 01:41 PM,,BOQ Comparative Chart,"FAISAL ALAM, BDO, DILIP KUMAR KHARWAR, JE RED, MANOJ KUMAR SINGH, ADO P",Internal,,FAISAL ALAM,09-Apr-2026 12:38 PM,09-Apr-2026 01:00 PM,techsummary_2111437.pdf (145.56 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,6030984.0,MAHADEV ASSOCIATE,05-Apr-2026 10:54 PM,Rejected-AOC,L2,09-Apr-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,6031047.0,VISEN ASSOCIATE,05-Apr-2026 11:03 PM,Accepted-AOC,L1,09-Apr-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
