S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,SS - Small Savings Instrument,09-Mar-2026 06:00 PM,24-Mar-2026 12:00 PM,10-Mar-2026 10:00 AM,23-Mar-2026 05:00 PM,NA ,NA ,10-Mar-2026 11:00 AM,23-Mar-2026 05:00 PM,30-Mar-2026 01:00 PM,"32,500",No,fixed,,EO NPP Hata,Hata,Construction Of RCC Drain And Slab,Construction Of RCC Drain And Slab Hanuman mandir To NH 28,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,ward no 18 Hanuman nagar,274203.0,NA ,NA ,NA ,EO NPP Hata,No ,No,Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,700-3,2026_DOLBU_1122759_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EO NPP Hata,EO NPP Hata,650.0,EO NPP Hata,Hata,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,08-Apr-2026 06:47 PM,finsummary_2091071.pdf (234.76 KB),Technical,Technical Bid opening summary,Meenu Singh,29-Mar-2026 02:29 PM,technical_2091071.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Meenu Singh,29-Mar-2026 05:34 PM,30-Mar-2026 01:00 PM,techsummary_2091071.pdf (122.46 KB),Finance,Financial Bid opening summary,Meenu Singh,08-Apr-2026 06:05 PM,finance_2091071.pdf,1.0,5997106.0,M/S PANKJA CONSTRUCTION,INR,"648,806",Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,2026_DOLBU_1122759_1,700-3,Construction Of RCC Drain And Slab,1,5999327,M/S AJAY CONSTRUCTIONS,23-Mar-2026 01:08 PM,Rejected-Finance,Highest BID,08-Apr-2026 06:47 PM,10-Apr-2026,"INR 648,806",90.0,Meenu Singh,10-Apr-2026 01:11 PM,F3.pdf (220.00 KB),Crate Agreement On Stamp Paper and Complete the job 90 days,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5997106,M/S PANKJA CONSTRUCTION,22-Mar-2026 10:00 PM,Accepted-AOC,Lowest BID,10-Apr-2026 01:11 PM,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5997894,SAROJANI ASSOCIATES,23-Mar-2026 09:07 AM,Rejected-Finance,Highest BID,08-Apr-2026 06:47 PM,,,,,,,,AOC
