Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Jalaun Jalaun,1900/15va vitt ayog/nirman vibhag/2025-26/Date 06.03.2026,2026_DOLBU_1122309_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,559",Executive Officer,NPP JALAUN,No,Executive Officer,NPP JALAUN,1.0,Fee/PreQual/Technical,.pdf,Technical,1.0,RTGS - RTGS Payment,"1,10,900",No,percentage,10.0%,Executive Officer,NPP JALAUN,07-Mar-2026 11:00 AM,19-Mar-2026 11:00 AM,07-Mar-2026 11:00 AM,18-Mar-2026 03:00 PM,NA ,NA ,07-Mar-2026 11:00 AM,18-Mar-2026 03:00 PM,04-Apr-2026 11:00 AM,Work No. 1,Construction of drain and CC road from Ram Singh Tomars plot to Reena Devis house in Moh Topkhana on Ward No. 09 Konch Road.,Please refer Tender documents. ,NA ,"11,09,000",Civil Works,NA ,Tender,11.0,180.0,Jalaun,285123.0,NA ,NA ,NA ,NPP JALAUN,No ,No,AOC,Technical,Two bid Admitted,Sushil Kumar Dohare,02-Apr-2026 01:10 PM,technical_2089644.pdf,E O Sushil Kumar Dohare,Internal,"J E Praveen kumar, H C Ravindra Saluja, A C Anil kumar, PWC Kamlesh kumar",Sushil Kumar Dohare,04-Apr-2026 08:30 PM,finsummary_2089644.pdf (2982.03 KB),Finance,All bid admitted,Sushil Kumar Dohare,04-Apr-2026 08:18 PM,finance_2089644.pdf,BOQ Comparative Chart,E O Sushil Kumar Dohare,Internal,"J E Praveen kumar, H C Ravindra Saluja, A C Anil kumar, PWC Kamlesh kumar",Sushil Kumar Dohare,02-Apr-2026 01:24 PM,04-Apr-2026 11:00 AM,techsummary_2089644.pdf (1448.51 KB),04-Apr-2026,"INR 1,104,564",180.0,Sushil Kumar Dohare,04-Apr-2026 08:48 PM,15vavittsheshfic.pdf (2982.00 KB),Bid approved,1,5984926,JITENDRA BADAL CONTRACTOR,18-Mar-2026 01:12 PM,Not Admitted-Fee/PreQual/Technical,Others-à¤à¤«à¤¿à¤¡à¥‡à¤¬à¤¿à¤Ÿ à¤¸à¤‚0 HA 038466 à¤¦à¤¿à¤¨à¤¾à¤‚à¤• 19.03.2026 à¤•à¥‡ à¤•à¥à¤°à¤® à¤®à¥‡à¤‚ à¤¨à¤¿à¤µà¤¿à¤¦à¤¾ à¤¨à¤¿à¤°à¤¸à¥à¤¤ à¤•à¥€ à¤œà¤¾à¤¤à¥€ à¤¹à¥ˆà¥¤,02-Apr-2026 01:10 PM,1.0,5979691.0,M/S DILEEP KUMAR CONTRACTOR,INR,"1,104,564",Directorate of Local Bodies UP||Nagar Palika Parishad Jalaun Jalaun,2026_DOLBU_1122309_1,1900/15va vitt ayog/nirman vibhag/2025-26/Date 06.03.2026,Work No. 1,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5979691,M/S DILEEP KUMAR CONTRACTOR,16-Mar-2026 09:46 PM,Accepted-AOC,Yes,04-Apr-2026 08:48 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5980901,VIRENDRA KUMAR,17-Mar-2026 10:33 AM,Rejected-AOC,No,04-Apr-2026 08:48 PM,,,,,,,,,,AOC
