Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",636/AA-6/2025-26,2026_NNKAN_1104113_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,Work of installing stone plaques in all the wards under Zone 06,Work of installing stone plaques in all the wards under Zone 06,Please refer Tender documents. ,NA ,"9,06,246",Civil Works,NA ,Tender,180.0,45.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,03-Feb-2026 09:00 AM,06-Feb-2026 04:00 PM,03-Feb-2026 09:00 AM,06-Feb-2026 03:00 PM,NA ,NA ,03-Feb-2026 09:00 AM,06-Feb-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,AFFIDAVIT,"90,625",No,percentage,10.0%,Nil,Nil,ce knn,ce knn moti jheel,1.0,SBI Bank,AOC,EE-6,Internal,,Tota Ram,25-Feb-2026 04:50 PM,finsummary_2054834.pdf (42.02 KB),EE-6,Internal,,Tota Ram,25-Feb-2026 04:48 PM,techsummary_2054834.pdf (42.02 KB),"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1104113_2,636/AA-6/2025-26,Work of installing stone plaques in all the wards under Zone 06,1.0,5846429.0,M/s India Traders,INR,"770,309",1,5841061,Grah Laxmi Enterprises,03-Feb-2026 05:07 PM,Rejected-Finance,No Lotter winner,25-Feb-2026 04:50 PM,20-Apr-2026,"INR 770,309",45.0,Tota Ram,20-Apr-2026 04:04 PM,636.pdf (369.00 KB),work order,Finance,All Bids are admitted,Tota Ram,12-Feb-2026 05:30 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5846429,M/s India Traders,06-Feb-2026 10:59 AM,Accepted-AOC,L-1,20-Apr-2026 04:04 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5844906,M/S VOLVO INDUSTRIES,05-Feb-2026 03:29 PM,Rejected-Finance,No Lotter winner,25-Feb-2026 04:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,5847002,SATYA CONSTRUCTION COMPANY,06-Feb-2026 01:18 PM,Rejected-Finance,No Lotter winner,25-Feb-2026 04:50 PM,,,,,,,,,,,,,,AOC
