EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"5,000",No,fixed,,BDO AHIRORI,VIKAS KHAND AHIRORI,Commissioner Rural Development UP||JDC Lucknow||CDO Hardoi||DDO Hardoi||BDO Ahirori,2145/Gauvansh bharan Poshan/Silage kray/Etender/2025-26,2026_RDUP_1130029_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,25-Mar-2026 09:00 AM,02-Apr-2026 04:00 PM,25-Mar-2026 09:00 AM,02-Apr-2026 12:00 PM,NA ,NA ,25-Mar-2026 09:00 AM,02-Apr-2026 12:00 PM,09-Apr-2026 12:05 PM,BDO AHIRORI,Vikas khand ahirori,"Vikas Khand Ahirori ki Vibhinn Gram Panchayton ki Gashala me Gau-Vansh Hetu silage , kray","Vikas Khand Ahirori ki Vibhinn Gram Panchayton ki Gashala me Gau-Vansh Hetu silage , kray",Please refer Tender documents. ,NA ,,Food Products,NA ,Tender,365.0,NA ,ahirori,241001.0,NA ,NA ,NA ,Vikas khand ahirori,No ,No,650.0,BDO AHIRORI,VIKAS KHAND AHIRORI,No,1.0,Fee/PreQual/Technical,.pdf,TENDER NOTICE,1,DD - Demand Draft,AOC,1.0,6026217.0,IDEAL INTERNATIONAL,02-Apr-2026 01:02 AM,Accepted-AOC,LOWEST BID,09-Apr-2026 12:15 PM,09-Apr-2026,"INR 2,993,678.1",365.0,KAMRAN NEMANI,09-Apr-2026 12:15 PM,3.pdf (101.00 KB),BDO KAMRAN NEMANI,Internal,,KAMRAN NEMANI,09-Apr-2026 12:04 PM,09-Apr-2026 12:05 PM,techsummary_2107991.pdf (139.76 KB),Finance,ok,KAMRAN NEMANI,09-Apr-2026 12:10 PM,,BOQ Comparative Chart,Technical,ok,KAMRAN NEMANI,09-Apr-2026 12:00 PM,,Commissioner Rural Development UP||JDC Lucknow||CDO Hardoi||DDO Hardoi||BDO Ahirori,2026_RDUP_1130029_1,2145/Gauvansh bharan Poshan/Silage kray/Etender/2025-26,"Vikas Khand Ahirori ki Vibhinn Gram Panchayton ki Gashala me Gau-Vansh Hetu silage , kray",BDO KAMRAN NEMANI,Internal,,KAMRAN NEMANI,09-Apr-2026 12:12 PM,finsummary_2107991.pdf (139.76 KB),1.0,6026217.0,IDEAL INTERNATIONAL,INR,"2,993,678.1",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,AOC,2.0,6026231.0,M/S SINGH TRADERS,02-Apr-2026 01:05 AM,Rejected-AOC,NOT LOWEST BID,09-Apr-2026 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
