Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,2026_DOLBU_1119560_1,371/NPPDATAGANJ/2025-26,CIVIL_WORK,1.0,5971360.0,GMT ENTERPRISES,INR,"2,297,722.448",1,5971360,GMT ENTERPRISES,14-Mar-2026 12:18 AM,Accepted-AOC,OK,10-Apr-2026 03:03 PM,09-Apr-2026,"INR 2,297,722.448",90.0,Vikas Anand,10-Apr-2026 03:01 PM,W9560_1.pdf (563.00 KB),BAREILLY DATAGANJ TIRAHA SE MANDI TAK MAIN ROAD KE LEFT SIDE PATRI PER INTERLOCKING BRICKES KARYE,vikas anand,Internal,Three,Vikas Anand,09-Apr-2026 03:10 PM,finsummary_2081845.pdf (189.05 KB),Technical,as per document,Vikas Anand,04-Apr-2026 05:08 PM,technical_2081845.pdf,vikas anand,Internal,Three,Vikas Anand,04-Apr-2026 05:33 PM,04-Apr-2026 06:00 PM,techsummary_2081845.pdf (189.05 KB),Finance,as per document,Vikas Anand,09-Apr-2026 11:36 AM,finance_2081845.pdf,BOQ Comparative Chart,AOC,1.0,date corrigendum3,Date,,"2,773",EXECUTIVE OFFICER,npp dataganj,Yes,Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,371/NPPDATAGANJ/2025-26,2026_DOLBU_1119560_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,BG - Bank Guarantee,"2,31,159",Yes,fixed,,EXECUTIVE OFFICER,Npp dataganj,EXECUTIVE OFFICER,NPP DATAGANJ,24-Feb-2026 10:00 AM,19-Mar-2026 12:00 PM,24-Feb-2026 10:00 AM,18-Mar-2026 05:00 PM,NA ,NA ,24-Feb-2026 10:00 AM,18-Mar-2026 05:00 PM,04-Apr-2026 06:00 PM,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,CIVIL_WORK,NPP DATAGANJ KE ANTERGAT BAREILLY DATAGANJ TIRAHA SE MANDI TAK MAIN ROAD KE LEFT SIDE PATRI PER INTERLOCKING KA KARYE,Please refer Tender documents. ,NA ,"23,11,592",Civil Works,NA ,Tender,90.0,90.0,ward no 23,243635.0,NA ,NA ,NA ,NPP DATAGANJ,No ,No,AOC
,,,,,,,,,2,5971853,M.S CONTRUCTION AND SUPPLIERS,14-Mar-2026 08:04 PM,Rejected-Finance,Above,09-Apr-2026 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5971389,SARA ENTERPRISES,14-Mar-2026 08:20 PM,Rejected-Finance,Above,09-Apr-2026 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
