S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,BG - Bank Guarantee,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,"1,298",EXECUTIVE OFFICER,npp dataganj,Yes,CIVIL_WORK,NPP DATAGANJ KE ANTERGAT ISTHIT HUN. HIGH SCHOOL ME MITTI BHARAO AVAM INTERLOCKING KARYE,Please refer Tender documents. ,NA ,"10,77,265",Civil Works,NA ,Tender,90.0,90.0,WARD NO 07,243635.0,NA ,NA ,NA ,NPP DATAGANJ,No ,No,"1,07,726",Yes,fixed,,EXECUTIVE OFFICER,Npp dataganj,10-Feb-2026 10:00 AM,19-Mar-2026 12:00 PM,10-Feb-2026 10:00 AM,18-Mar-2026 05:00 PM,NA ,NA ,10-Feb-2026 10:00 AM,18-Mar-2026 05:00 PM,06-Apr-2026 11:00 AM,EXECUTIVE OFFICER,NPP DATAGANJ,1.0,date corrigendum2,Date,,Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,352/NPPDATAGANJ/2025-26 DATE 09.02.2026,2026_DOLBU_1114058_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Vikas Anand,Internal,Three,Vikas Anand,05-Apr-2026 01:15 PM,06-Apr-2026 11:00 AM,techsummary_2064998.pdf (189.05 KB),Finance,as per documet,Vikas Anand,08-Apr-2026 06:48 PM,finance_2064998.pdf,BOQ Comparative Chart,vikas anand,Internal,THREE,Vikas Anand,09-Apr-2026 03:45 PM,finsummary_2064998.pdf (189.05 KB),Technical,as per document,Vikas Anand,05-Apr-2026 12:31 PM,technical_2064998.pdf,1.0,5967047.0,BALAJI TRADERS,INR,"1,076,241.598",Directorate of Local Bodies UP||Nagar Palika Parishad Dataganj Badaun,2026_DOLBU_1114058_1,352/NPPDATAGANJ/2025-26 DATE 09.02.2026,CIVIL_WORK,1,5967047,BALAJI TRADERS,12-Mar-2026 10:50 AM,Accepted-AOC,OK,10-Apr-2026 02:17 PM,09-Apr-2026,"INR 1,076,241.598",90.0,Vikas Anand,10-Apr-2026 02:17 PM,W4058_1.pdf (587.00 KB),JUN HIGH SCHOOL ME MITTI BHARAO AVAM INTERLOCKING KARYE,AOC
2,FDR - Fixed Deposit,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5965655,MS KRISHNA DEVI THEKEDAR,11-Mar-2026 07:41 PM,Rejected-Finance,ABOVE,09-Apr-2026 03:45 PM,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5965630,M/S MAHESH CHAND GUPTA THEKEDAR,11-Mar-2026 07:31 PM,Rejected-Finance,ABOVE,09-Apr-2026 03:45 PM,,,,,,,,AOC
