S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,DD - Demand Draft,EE UPSCIDCO Prayagraj,236/174/4 Triveni GAs Godown Road New Mehdauri Teliyarganj Prayagraj,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,1174-02/EE/PYG/VN/E-Tenr/25-26,2026_SCIDC_1126564_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"27,000",Yes,fixed,,EE UPSCIDCO,Prayagraj,"1,652",EE UPSCIDCO,Prayagraj,No,Vidhayak Nidhi Naini Vinova nagar mein Saraswati Shishu Vidya Mandir Vidyalay Parisar ke ander interlocking ka Niraman Karya,Vidhayak Nidhi Naini Vinova nagar mein Saraswati Shishu Vidya Mandir Vidyalay Parisar ke ander interlocking ka Niraman Karya,Please refer Tender documents. ,NA ,"13,34,000",Civil Works,NA ,Tender,90.0,90.0,Prayagraj,211004.0,EE UPSCIDCO Prayagraj ,236/174/4 Triveni GAs Godown Road New Mehdauri Teliyarganj Prayagraj ,20-Mar-2026 12:00 PM ,EE UPSCIDCO Prayagraj,No ,No,17-Mar-2026 06:00 PM,23-Mar-2026 03:00 PM,17-Mar-2026 06:00 PM,23-Mar-2026 02:00 PM,NA ,NA ,17-Mar-2026 06:00 PM,23-Mar-2026 02:00 PM,25-Mar-2026 06:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Anil Kumar,Internal,"Lalji Tiwari , DS Tripathi",Anil Kumar,25-Mar-2026 05:49 PM,25-Mar-2026 06:00 PM,techsummary_2100892.pdf (390.23 KB),Finance,fs,Anil Kumar,20-Apr-2026 02:34 PM,finance_2100892.pdf,BOQ Comparative Chart,Anil Kumar,Internal,"Lalji Tiwari, DS Tripathi",Anil Kumar,20-Apr-2026 02:40 PM,finsummary_2100892.pdf (225.57 KB),Technical,ts,Anil Kumar,25-Mar-2026 05:43 PM,technical_2100892.pdf,1.0,5993196.0,SHREE BALAJI CONSTRUCTION,INR,"1,332,132.4",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Allahabad,2026_SCIDC_1126564_1,1174-02/EE/PYG/VN/E-Tenr/25-26,Vidhayak Nidhi Naini Vinova nagar mein Saraswati Shishu Vidya Mandir Vidyalay Parisar ke ander interlocking ka Niraman Karya,1.0,5994799.0,M/S SADGURU CONSTRUCTION SUPPLIERS,21-Mar-2026 04:56 PM,Rejected-AOC,2nd,20-Apr-2026 02:46 PM,20-Apr-2026,"INR 1,332,132.4",90.0,Anil Kumar,20-Apr-2026 02:46 PM,wo.pdf (718.00 KB),Work Order Issue Letter No- 1207 dt. 25.03.2026,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5993196.0,SHREE BALAJI CONSTRUCTION,21-Mar-2026 04:29 PM,Accepted-AOC,1st,20-Apr-2026 02:46 PM,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
