S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,950.0,Nil,Nil,No,Gram Sabha Dufediya me Liyakat Madha Pakke Sadak se Pyare ke ghar tak Rabarmold Interlocking ka Nirman Karya,Gram Sabha Dufediya me Liyakat Madha Pakke Sadak se Pyare ke ghar tak Rabarmold Interlocking ka Nirman Karya,Gram Sabha Dufediya me Liyakat Madha Pakke Sadak se Pyare ke ghar tak Rabarmold Interlocking ka Nirman Karya ,NA ,"9,69,274",Civil Works,NA ,Tender,90.0,120.0,EE RED Gonda,271001.0,NA ,NA ,NA ,EE RED Gonda,No ,No,06-Feb-2026 06:00 PM,13-Feb-2026 12:30 PM,06-Feb-2026 06:00 PM,13-Feb-2026 12:00 PM,NA ,NA ,06-Feb-2026 06:00 PM,13-Feb-2026 12:00 PM,19-Feb-2026 06:00 PM,EE RED GONDA,EE RED GONDA,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,1014/EE/RED/ENiv/Nirman/25-26 Dt 14-01-2026,2026_REDUP_1113169_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT with T1,"19,385",Yes,percentage,2.0%,Nil,Nil,AOC,EE RED GONDA,Internal,Er JB Singh EE Er VK Pathak AE Sri LK Chakravarti DAO,Jay Bahadur Singh,16-Apr-2026 10:48 AM,finsummary_2059984.pdf (254.43 KB),Technical,Summary,VIRENDRA KUMAR PATHAK,19-Feb-2026 01:20 PM,,EE RED GONDA,Internal,Er J B Singh EE Er Virendra Kumar Pathak A E Sri L. K. Chakravarti D A O,VIRENDRA KUMAR PATHAK,19-Feb-2026 05:56 PM,19-Feb-2026 06:00 PM,techsummary_2059984.pdf (392.84 KB),Finance,Summary,Jay Bahadur Singh,16-Apr-2026 08:35 AM,,BOQ Comparative Chart,1,5864531,M/S DASMESH ASSOCIATES,12-Feb-2026 06:47 PM,Rejected-Finance,L2,16-Apr-2026 10:48 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,2026_REDUP_1113169_5,1014/EE/RED/ENiv/Nirman/25-26 Dt 14-01-2026,Gram Sabha Dufediya me Liyakat Madha Pakke Sadak se Pyare ke ghar tak Rabarmold Interlocking ka Nirman Karya,1.0,5863080.0,M/S SRI JAN CONSTRUCTION,INR,"969,273.56",16-Apr-2026,"INR 969,273.56",120.0,Jay Bahadur Singh,16-Apr-2026 10:50 AM,05Kaiser.pdf (254.00 KB),bond,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Work BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5863080,M/S SRI JAN CONSTRUCTION,12-Feb-2026 05:58 PM,Accepted-AOC,L1,16-Apr-2026 10:50 AM,,,,,,,,,,,,,,,,,AOC
