Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,112/Nirman/2025-26 Date 10.03.2026,2026_DOLBU_1123900_23,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"3,03,000",No,percentage,3.0%,Nil,Nil,"5,959",Nil,Nil,No,"Ward 87 m Ward 50 vikash nagar meerut road se sanjeev tyagi , bijendar mavi hote huve prem tak sadak sudharkhand, nyay khand ki antrik sadko ka sudhar karye","Ward 87 m Ward 50 vikash nagar meerut road se sanjeev tyagi , bijendar mavi hote huve prem tak sadak sudharkhand, nyay khand ki antrik sadko ka sudhar karye",Please refer Tender documents. ,NA ,"1,01,00,000",Civil Works,NA ,Tender,90.0,NA ,CE,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1,Fee/PreQual/Technical,.pdf,Tender Notice,13-Mar-2026 12:55 PM,18-Mar-2026 03:30 PM,13-Mar-2026 12:55 PM,18-Mar-2026 03:00 PM,NA ,NA ,13-Mar-2026 12:55 PM,18-Mar-2026 03:00 PM,08-Apr-2026 11:00 AM,CE,Ghaziabad Nagar Nigam,AOC,1.0,5978101.0,A H CONSTRUCTIONS,INR,"8,584,999",ce,Internal,,narendra kumar chaudhary,25-Apr-2026 03:18 PM,finsummary_2096163.pdf (423.83 KB),Finance,Finjance,narendra kumar chaudhary,08-Apr-2026 01:03 PM,,BOQ Comparative Chart,1.0,5978101.0,A H CONSTRUCTIONS,16-Mar-2026 01:53 PM,Accepted-AOC,L1,25-Apr-2026 03:22 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1123900_23,112/Nirman/2025-26 Date 10.03.2026,"Ward 87 m Ward 50 vikash nagar meerut road se sanjeev tyagi , bijendar mavi hote huve prem tak sadak sudharkhand, nyay khand ki antrik sadko ka sudhar karye",CE,Internal,,narendra kumar chaudhary,07-Apr-2026 04:00 PM,08-Apr-2026 11:00 AM,techsummary_2096163.pdf (629.42 KB),25-Apr-2026,"INR 8,584,999",60.0,narendra kumar chaudhary,25-Apr-2026 03:22 PM,23112.pdf (424.00 KB),Technical,Technical,Kuldeep Kumar Tamar,20-Mar-2026 10:50 AM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
