Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
30-Apr-2026,"INR 20,963,911.6",90.0,Trayambak Tripathi,01-Apr-2026 02:42 PM,2249.pdf (442.00 KB),AG NO 14/SE/2025-26 MS GSB DEVELOPERS KASGANJ,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly",2026_UPIDC_1122574_1,06/SE/2025-26,"Janpad Pilibhit main sharda nadi ke dayein tut par sthith sanedi tutbundh par purv nirmit spur sankhya 02,03 evam 04 ki launching appron ki punarsthapna ththa spur sankhya 01 se 04 ke madhye purcupine lagane ka karye.",1.0,5968793.0,GSB DEVELOPERS PRIVATE LIMITED,INR,"20,963,911.6",1,5977231,Desh Dipak Pandey,16-Mar-2026 12:48 PM,Rejected-Finance,ADMITTED,30-Mar-2026 03:13 PM,Technical,10 BIDS RECEIVED OUT OF WHICH 08 BIDS HAVE BEEN QUALIFIED CONTRACTOR,Trayambak Tripathi,18-Mar-2026 05:52 PM,,SE VTH CIRCLE IW BAREILLY,External,SE FLOOD CIRCLE LAKHIMPUR KHIRI,Trayambak Tripathi,30-Mar-2026 03:13 PM,finsummary_2090552.pdf (25.74 KB),Finance,10 BIDS RECEIVED OUT OF WHICH LOWEST BID AWARDED,Trayambak Tripathi,25-Mar-2026 08:11 PM,,BOQ Comparative Chart,SE VTH CIRCLE IW BAREILLY,External,SE FLOOD CIRCLE LAKHIMPUR KHIRI,Trayambak Tripathi,18-Mar-2026 06:00 PM,21-Mar-2026 11:00 AM,techsummary_2090552.pdf (486.51 KB),AOC,"2,715",Nil,Nil,Yes,09-Mar-2026 10:00 AM,16-Mar-2026 04:00 PM,09-Mar-2026 10:00 AM,16-Mar-2026 03:00 PM,NA ,NA ,09-Mar-2026 10:00 AM,16-Mar-2026 03:00 PM,21-Mar-2026 11:00 AM,"Janpad Pilibhit main sharda nadi ke dayein tut par sthith sanedi tutbundh par purv nirmit spur sankhya 02,03 evam 04 ki launching appron ki punarsthapna ththa spur sankhya 01 se 04 ke madhye purcupine lagane ka karye.","Janpad Pilibhit main sharda nadi ke dayein tut par sthith sanedi tutbundh par purv nirmit spur sankhya 02,03 evam 04 ki launching appron ki punarsthapna ththa spur sankhya 01 se 04 ke madhye purcupine lagane ka karye.",Please refer Tender documents. ,NA ,"4,15,35,000",Civil Works,NA ,Tender,90.0,90.0,PILIBHIT,262001.0,NA ,NA ,NA ,BAREILLY,No ,No,1.0,SBI Bank,"8,31,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,NIT,SUPERINTENDING ENGINEER,SE VTH CIRCLE IW BAREILLY,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly",06/SE/2025-26,2026_UPIDC_1122574_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,5968793,GSB DEVELOPERS PRIVATE LIMITED,16-Mar-2026 01:33 PM,Accepted-AOC,L-1,01-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5975317,LAIQUE AHMAD,16-Mar-2026 10:00 AM,Rejected-Finance,ADMITTED,30-Mar-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5972151,MOHAMMAD AWAIS,16-Mar-2026 01:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Mar-2026 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5978184,M/S MAHALAXMI TRADERS,16-Mar-2026 02:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Mar-2026 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5974483,M/S OM BALA JEE CONSTRUCTION,16-Mar-2026 08:53 AM,Rejected-Finance,ADMITTED,30-Mar-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5973026,M/S SRI RAJ BAHADUR SINGH,15-Mar-2026 07:15 PM,Rejected-Finance,ADMITTED,30-Mar-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5977569,M/S UNITE ENTERPRISES,16-Mar-2026 12:12 PM,Rejected-Finance,ADMITTED,30-Mar-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5975667,PURNAGIRI CONSTRUCTION CO. PVT. LTD.,16-Mar-2026 02:54 PM,Rejected-Finance,ADMITTED,30-Mar-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5977311,SINGH CONTRACTOR,16-Mar-2026 01:28 PM,Rejected-Finance,ADMITTED,30-Mar-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
