Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
DREDGING WORK FOR THE RIVER TRAINING WORK BY CHANNELIZATION TO PROTECT VILL- BAHUWAN MADAR MANJHA AND OTHER GROUP OF VILLAGES SITUATED AT LEFT BANK OF SARYU RIVER IN DIST- GONDA,DREDGING WORK FOR THE RIVER TRAINING WORK BY CHANNELIZATION TO PROTECT VILL- BAHUWAN MADAR MANJHA AND OTHER GROUP OF VILLAGES SITUATED AT LEFT BANK OF SARYU RIVER IN DIST- GONDA,Please refer Tender documents. ,NA ,"1,19,97,000",Miscellaneous Works,NA ,Tender,90.0,90.0,Saryu River District Gonda,270001.0,NA ,NA ,NA ,SE OFFICE 67 A CANTT KANPUR NAGAR,No ,No,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,42/SE/IWC1K/2025-26,2026_UPIDM_1122784_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,CORRIGENDUM,Date,,1.0,Fee/PreQual/Technical,.pdf,Tender Document,1.0,SBI Bank,"2,40,000",No,fixed,,Nil,Nil,"2,360",Nil,Nil,No,SE,SE OFFICE 67 A CANTT KANPUR NAGAR.,09-Mar-2026 10:00 AM,19-Mar-2026 02:00 PM,09-Mar-2026 10:00 AM,19-Mar-2026 12:00 PM,NA ,NA ,09-Mar-2026 10:00 AM,19-Mar-2026 12:00 PM,20-Mar-2026 02:10 PM,AOC,SE,Internal,,Vijay Kumar,25-Mar-2026 03:39 PM,finsummary_2091128.pdf (520.36 KB),Technical,All Bidder Successfully Admitted,Vijay Kumar,19-Mar-2026 03:46 PM,,SE,Internal,,Vijay Kumar,20-Mar-2026 02:05 PM,20-Mar-2026 02:10 PM,techsummary_2091128.pdf (520.36 KB),Finance,All Bidder successfully Admitted.,Vijay Kumar,23-Mar-2026 05:10 PM,,BOQ Comparative Chart,1,5983208,ENVIROMECH DREDGING INDIA PRIVATE LIMITED,18-Mar-2026 04:20 PM,Rejected-Finance,2nd lowest,25-Mar-2026 03:39 PM,1.0,5972357.0,Greensun Connect Private Limited,INR,"11,401,000",U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,2026_UPIDM_1122784_1,42/SE/IWC1K/2025-26,DREDGING WORK FOR THE RIVER TRAINING WORK BY CHANNELIZATION TO PROTECT VILL- BAHUWAN MADAR MANJHA AND OTHER GROUP OF VILLAGES SITUATED AT LEFT BANK OF SARYU RIVER IN DIST- GONDA,27-Mar-2026,"INR 11,401,000",90.0,Vijay Kumar,06-Apr-2026 05:06 PM,tn42AOC.pdf (470.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Other corrigendum,Other,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5972357,Greensun Connect Private Limited,17-Mar-2026 04:49 PM,Accepted-AOC,Agreement has been signed.,06-Apr-2026 05:07 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5972824,IMPERIAL INFRASTRUCUTRE & DREDGING PRIVATE LIMITED,17-Mar-2026 01:12 PM,Rejected-Finance,3rd lowest,25-Mar-2026 03:39 PM,,,,,,,,,,,,,,,,,AOC
