S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5942362.0,M/S SHIRDI INFRATECH PRIVATE LIMITED,INR,"50,003,638.78","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura",2026_UPIDC_1104396_5,11/SE/2025-26,"Reconstruction work of 12 Type-3 and 5 Type-4 residential quarters for Irrigation Division, Hathras.",1,5945695,ARTIST BRO,13-Mar-2026 01:30 PM,Rejected-Finance,THIRD LOWEST,20-Mar-2026 02:28 PM,25-Mar-2026,"INR 50,003,638.78",365.0,ALOK CHATURVEDI,02-Apr-2026 03:17 PM,1218.pdf (498.00 KB),ALOK CHATURVEDI,Internal,ALOK CHATURVEDI AND PRABHAT KUMAR SINGH,ALOK CHATURVEDI,17-Mar-2026 05:05 PM,18-Mar-2026 04:00 PM,techsummary_2085972.pdf (2921.06 KB),Finance,ALL BIDDERS ARE ADMITTED,ALOK CHATURVEDI,18-Mar-2026 05:28 PM,finance_2085972.pdf,BOQ Comparative Chart,ALOK CHATURVEDI,Internal,ALOK CHATURVEDI AND PRABHAT KUMAR SINGH,ALOK CHATURVEDI,20-Mar-2026 02:28 PM,finsummary_2085972.pdf (2921.06 KB),Technical,ALL BIDDERS ARE ADMITTED,ALOK CHATURVEDI,13-Mar-2026 08:55 PM,technical_2085972.pdf,AOC,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"5,944",Nil,Nil,No,"12,58,300",No,percentage,2.0%,Nil,Nil,"Reconstruction work of 12 Type-3 and 5 Type-4 residential quarters for Irrigation Division, Hathras.","Reconstruction work of 12 Type-3 and 5 Type-4 residential quarters for Irrigation Division, Hathras.",Please refer Tender documents. ,NA ,"6,29,15,000",Civil Works,NA ,Tender,90.0,365.0,HATHRAS,204101.0,NA ,NA ,NA ,SE IWC MATHURA,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura",11/SE/2025-26,2026_UPIDC_1104396_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,SE IWC MATHURA,SE IWC CIVIL LINE MATHURA,1.0,DATE EXTEND....,Date,,28-Feb-2026 03:00 PM,13-Mar-2026 03:30 PM,28-Feb-2026 03:00 PM,13-Mar-2026 03:00 PM,NA ,NA ,28-Feb-2026 03:00 PM,13-Mar-2026 03:00 PM,18-Mar-2026 04:00 PM,AOC
,,,,,,,,,2,5970553,Durga Engineers and Earth Movers,13-Mar-2026 02:55 PM,Rejected-Finance,FOURTH LOWEST,20-Mar-2026 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5951306,MEGHENDRA PAL SINGH CONTRECTOR,10-Mar-2026 11:59 AM,Rejected-Finance,FIFTH LOWEST,20-Mar-2026 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5948633,M/S JAMEEL CONTRACTOR,06-Mar-2026 01:09 PM,Rejected-Finance,SECOND LOWEST,20-Mar-2026 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5942362,M/S SHIRDI INFRATECH PRIVATE LIMITED,13-Mar-2026 10:56 AM,Accepted-AOC,FIRST LOWEST,02-Apr-2026 03:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
