Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Open,Dinesh Prasad,13-Mar-2026 05:53 PM,,BOQ Comparative Chart,1.0,5941131.0,SHRIYA ENTERPRISES,INR,"827,480","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1116150_1,1336/A.A.5/25-26,Improvement of footpath work from panki atm tiraha to shambhu guest Under Ward-50 Zone-5,1,5920810,ALKA RANI CHAUBEY,28-Feb-2026 08:50 AM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,20-Apr-2026,"INR 827,480",45.0,Dinesh Prasad,23-Apr-2026 07:18 PM,tdr.pdf (9653.00 KB),Municipal Commissioner SIR,Internal,,Dinesh Prasad,19-Apr-2026 04:32 PM,techsummary_2072090.pdf (565.80 KB),Municipal Commissioner SIR,Internal,,Dinesh Prasad,19-Apr-2026 04:47 PM,finsummary_2072090.pdf (565.80 KB),AOC,"1,180",Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Document Pending work Affidavit,Improvement of footpath work from panki atm tiraha to shambhu guest Under Ward-50 Zone-5,Improvement of footpath work from panki atm tiraha to shambhu guest Under Ward-50 Zone-5,Please refer Tender documents. ,NA ,"9,92,054",Civil Works,NA ,Tender,45.0,45.0,Ward-50,208001.0,NA ,NA ,NA ,"Zonal Office Zone-5, Govind Nagar Kanpur Nagar.",No ,No,1.0,Date Extinction,Date,,Chief Engineer,Motijheel Nagar Nigam Kanpur.,14-Feb-2026 03:00 PM,28-Feb-2026 04:00 PM,14-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,NA ,NA ,14-Feb-2026 03:00 PM,28-Feb-2026 03:00 PM,"99,205",No,percentage,10.0%,Nil,Nil,"Kanpur Municipal Corporation, Kanpur, UP",1336/A.A.5/25-26,2026_NNKAN_1116150_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,5921963,ANIKA CONSTRUCTIONS,24-Feb-2026 10:01 PM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,"BOQ , rate to be filled by vender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,5893096,ANSH TRADERS,22-Feb-2026 02:05 PM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,5923971,ANUSHKA ENTERPRISES,24-Feb-2026 01:32 PM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,5918143,BALAJI BUILDERS,24-Feb-2026 06:34 PM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,5920798,Grah Laxmi Enterprises,27-Feb-2026 08:59 AM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,5937356,KSHAMA ENTERPRISES,27-Feb-2026 12:49 PM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,5917039,Maa Kushmanda Construction,24-Feb-2026 07:41 PM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,5922391,MAYANK ENTERPRISES,25-Feb-2026 11:16 AM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,5926213,m/s Bajrang enterprises,24-Feb-2026 09:31 PM,Rejected-Finance,Lottery not Allot,19-Apr-2026 04:47 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
