Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Laying of Remaining interlocking from Dibiyapur Sirsi Saraiya road to village Sirsi, Block- Biswan","Laying of Remaining interlocking from Dibiyapur Sirsi Saraiya road to village Sirsi, Block- Biswan",Please refer Tender documents. ,NA ,"24,48,627",Civil Works,NA ,Tender,90.0,90.0,"Biswan, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,EE RED Sitapur,"Vikas Bhawan, Sitapur",1,Fee/PreQual/Technical,.pdf,Technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1500/RED/Tender/2025-26,2026_REDUP_1111346_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,944.0,Nil,Nil,No,"49,000",No,fixed,,Nil,Nil,02-Feb-2026 10:00 AM,07-Feb-2026 12:30 PM,02-Feb-2026 10:00 AM,07-Feb-2026 12:00 PM,NA ,NA ,02-Feb-2026 10:00 AM,07-Feb-2026 12:00 PM,12-Feb-2026 12:30 PM,1.0,SBI Bank,AOC,Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,12-Feb-2026 05:13 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,11-Feb-2026 04:14 PM,12-Feb-2026 12:30 PM,techsummary_2053045.pdf (292.53 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,07-Feb-2026 04:02 PM,,Gyanendra Kumar,Internal,,Gyanendra Kumar,22-Mar-2026 04:48 PM,finsummary_2053045.pdf (522.92 KB),27-Mar-2026,"INR 2,447,402",90.0,Gyanendra Kumar,06-Apr-2026 07:19 PM,238.pdf (358.00 KB),1.0,5845176.0,SK Construction and Supplier,INR,"2,447,402",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1111346_2,1500/RED/Tender/2025-26,"Laying of Remaining interlocking from Dibiyapur Sirsi Saraiya road to village Sirsi, Block- Biswan",1,5845205,DHEERAJ SINGH,05-Feb-2026 05:03 PM,Rejected-Finance,Higher Rate Quoted,22-Mar-2026 04:48 PM,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5845176,SK Construction and Supplier,05-Feb-2026 05:27 PM,Accepted-AOC,L1,06-Apr-2026 07:19 PM,AOC
