Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Kulpahad Mahoba,41/Tender Notice/2026-27 DATED 18.04.2026,2026_DOLBU_1138956_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"95,400",No,fixed,,Executive officer,Nagar Panchayat Kulpahar,20-Apr-2026 11:00 AM,28-Apr-2026 11:00 AM,20-Apr-2026 11:00 AM,27-Apr-2026 06:00 PM,NA ,NA ,20-Apr-2026 11:00 AM,27-Apr-2026 06:00 PM,28-Apr-2026 02:25 PM,Construction of CC Road and Drainage System From Madhu Chaurasia to Ashish Rawat (Lohiya Nagar Ward),Construction of CC Road and Drainage System From Madhu Chaurasia to Ashish Rawat (Lohiya Nagar Ward),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,30.0,30.0,"Executive officer, Nagar Panchayat Kulpahar",210426.0,NA ,NA ,NA ,"Executive officer, Nagar Panchayat Kulpahar",No ,No,1.0,RTGS - RTGS Payment,"Executive officer, Nagar Panchayat Kulpahar","Executive officer, Nagar Panchayat Kulpahar","1,180",Executive officer,Nagar Panchayat Kulpahar,No,AOC,EO,Internal,,Pravendra Kumar,28-Apr-2026 02:19 PM,28-Apr-2026 02:25 PM,techsummary_2126522.pdf (172.17 KB),Finance,3 bid admitted,Vinod Kumar,28-Apr-2026 03:02 PM,,BOQ Comparative Chart,EO,Internal,,Vinod Kumar,28-Apr-2026 03:18 PM,finsummary_2126522.pdf (172.15 KB),Technical,3 bid find and all admitted,Pravendra Kumar,28-Apr-2026 02:09 PM,,1,6070242,M/S Dwarika Traders,26-Apr-2026 04:12 PM,Accepted-AOC,L1,29-Apr-2026 03:18 PM,1.0,6070242.0,M/S Dwarika Traders,INR,"950,334",Directorate of Local Bodies UP||Nagar Panchayat Kulpahad Mahoba,2026_DOLBU_1138956_1,41/Tender Notice/2026-27 DATED 18.04.2026,Construction of CC Road and Drainage System From Madhu Chaurasia to Ashish Rawat (Lohiya Nagar Ward),29-Apr-2026,"INR 950,334",30.0,Pravendra Kumar,29-Apr-2026 03:18 PM,AOC_1.pdf (434.00 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6068746,M/S Ganga Ram Namdeo Thekedar,25-Apr-2026 03:24 PM,Rejected-AOC,L3,29-Apr-2026 03:18 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6070053,M/S HARICHARAN VISHWAKARMA,26-Apr-2026 02:43 PM,Rejected-AOC,L2,29-Apr-2026 03:18 PM,,,,,,,,,,,,,,,,AOC
