Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2405/EE/RED/25-26/17.02.2026,2026_REDUP_1122008_9,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical bid,05-Mar-2026 05:00 PM,17-Mar-2026 12:30 PM,05-Mar-2026 05:00 PM,17-Mar-2026 12:00 PM,NA ,NA ,05-Mar-2026 05:00 PM,17-Mar-2026 12:00 PM,23-Mar-2026 10:00 AM,E.E.RED MAINPURI,E.E.RED MAINPURI,"4,000",Yes,fixed,,Nil,Nil,"Installation of High Mast Light at public place in Gram Jhandepur, Gram Panchayat Pureya, near old well of Manoj Shrivastava","Installation of High Mast Light at public place in Gram Jhandepur, Gram Panchayat Pureya, near old well of Manoj Shrivastava",Please refer Tender documents. ,NA ,"1,88,416",Civil Works - Others,NA ,Tender,90.0,90.0,MAINPURI,205001.0,NA ,NA ,NA ,E.E.RED MAINPURI,No ,No,1.0,SBI Bank,559.0,Nil,Nil,No,AOC,Er. Nuzhat Parveen,Internal,"A.E.RED, D.A.O.RED",Nuzahat Parveen,30-Mar-2026 11:21 AM,finsummary_2088751.pdf (293.29 KB),Technical,ALL BIDS ADMITTED,Nuzahat Parveen,18-Mar-2026 10:51 AM,,Er.Nuzhat Parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,18-Mar-2026 03:04 PM,23-Mar-2026 10:00 AM,techsummary_2088751.pdf (294.04 KB),Finance,all bid admitted,Nuzahat Parveen,23-Mar-2026 03:11 PM,,BOQ Comparative Chart,1,5974026,M/s SHRI GANESH CONSTRUCTION AND SUPPLIERS,15-Mar-2026 12:29 PM,Rejected-Finance,L-2,30-Mar-2026 11:21 AM,1.0,5958928.0,SHRI SHIVENDRA KUMAR,INR,"188,190",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1122008_9,2405/EE/RED/25-26/17.02.2026,"Installation of High Mast Light at public place in Gram Jhandepur, Gram Panchayat Pureya, near old well of Manoj Shrivastava",04-Apr-2026,"INR 188,190",90.0,Nuzahat Parveen,08-Apr-2026 01:28 PM,LIGHT_0001.pdf (282.00 KB),AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5964606,shri manoj yadav,14-Mar-2026 09:54 PM,Rejected-Finance,L-3,30-Mar-2026 11:21 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5958928,SHRI SHIVENDRA KUMAR,16-Mar-2026 11:36 AM,Accepted-AOC,L-1,08-Apr-2026 01:28 PM,,,,,,,,,,,,,,,,AOC
