Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"1,375",Executive Officer,Nagar palika parishad achhnera,No,"1,16,590",No,fixed,,Executive Officer,Nagar palika parishad achhnera,Directorate of Local Bodies UP||Nagar Palika Parishad Achnera Agra,430/NPPACH-NIVIDA,2026_DOLBU_1128836_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,ward-14 vasudev pandit kee ghar se lal singh kee gghar tak interloking and kc drain work,ward-14 vasudev pandit kee ghar se lal singh kee gghar tak interloking and kc drain work,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,NA ,Nagar palika parishad achhnera,283101.0,NA ,NA ,NA ,Nagar palika parishad achhnera,No ,No,1,DD - Demand Draft,1.0,472/suddiparta,Date,,executive officer,Nagar palika parishad achhnera,23-Mar-2026 11:00 AM,17-Apr-2026 02:00 PM,23-Mar-2026 11:00 AM,17-Apr-2026 02:00 PM,NA ,NA ,23-Mar-2026 11:00 AM,17-Apr-2026 02:00 PM,21-Apr-2026 03:20 PM,1.0,Fee/PreQual/Technical,.pdf,tender document,AOC,EXECUTIVE OFFICER,Internal,"MONU SINGH, JE RAJENDRA SINGH, CLEARK",Arun Kumar Yadav,21-Apr-2026 03:16 PM,21-Apr-2026 03:20 PM,techsummary_2105505.pdf (294.10 KB),Finance,tecnical,Rajendra Singh,22-Apr-2026 03:59 PM,finance_2105505.pdf,BOQ Comparative Chart,executive Officer,Internal,"Monu singh, Je Rajendra Singh, Cleark",Rajendra Singh,22-Apr-2026 04:16 PM,finsummary_2105505.pdf (292.58 KB),Technical,tecnical,Rajendra Singh,21-Apr-2026 02:56 PM,technical_2105505.pdf,1.0,6047055.0,KHUSHI CONTRACTOR,14-Apr-2026 07:06 PM,Rejected-AOC,Highest,22-Apr-2026 04:37 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Achnera Agra,2026_DOLBU_1128836_6,430/NPPACH-NIVIDA,ward-14 vasudev pandit kee ghar se lal singh kee gghar tak interloking and kc drain work,1.0,6047576.0,SHRI KRISHNA CONSTRUCTIONS,INR,"1,027,624.26",23-Apr-2026,"INR 1,027,624.26",90.0,Rajendra Singh,22-Apr-2026 04:37 PM,VASUDEVLT.pdf (357.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,2.0,Finance,.xls,ffineencial document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6044414.0,M/S SHIVANI BUILDERS,13-Apr-2026 03:55 PM,Rejected-AOC,Highest,22-Apr-2026 04:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6047385.0,M/S VASHISHTHA CONTRACTORS,15-Apr-2026 12:18 PM,Rejected-AOC,Highest,22-Apr-2026 04:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6047576.0,SHRI KRISHNA CONSTRUCTIONS,15-Apr-2026 12:24 PM,Accepted-AOC,Lowest,22-Apr-2026 04:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
