Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"17,700",Nil,Nil,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,35/GM-4/UPPCL/2025-26 Dated 04-02-2026,2026_UPPRC_1113225_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra",06-May-2026 04:53 PM,18-Feb-2026 03:00 PM,06-Feb-2026 06:20 PM,18-Feb-2026 02:00 PM,NA ,NA ,06-Feb-2026 06:20 PM,18-Feb-2026 02:00 PM,27-Feb-2026 12:00 PM,"TOURISM DEVLOPMENT WORK OF SHRI RADHA KRISHNA TEMPLE AT GRAM ASWAI, SIRSAGANJ IN DISTRICT- FIROZABAD (U.P.)","TOURISM DEVLOPMENT WORK OF SHRI RADHA KRISHNA TEMPLE AT GRAM ASWAI, SIRSAGANJ IN DISTRICT- FIROZABAD (U.P.)",Please refer Tender documents. ,NA ,"1,04,41,353",Miscellaneous Works,NA ,Tender,90.0,270.0,Gram Aswai Sirsaganj Firozabad,283151.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra ",09-Feb-2026 11:00 AM ,General Manager (Zone-4) Agra,No ,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,1.0,SBI Bank,"2,09,000",No,fixed,,Nil,Nil,AOC,Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,11-Mar-2026 06:37 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,26-Feb-2026 08:16 PM,27-Feb-2026 12:00 PM,techsummary_2060045.pdf (1640.56 KB),Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,26-Feb-2026 08:12 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,11-Mar-2026 06:41 PM,finsummary_2060045.pdf (111.44 KB),06-Apr-2026,"INR 10,331,719.37",270.0,RAJIV KUMAR PANDEY,09-Apr-2026 04:10 PM,AOC.pdf (44.00 KB),Work Awarded to M/s Shri Shyamji Builders,1,5855784,M/S H. K. BUILDERS,13-Feb-2026 02:57 PM,Rejected-Finance,Being Second Lowest,11-Mar-2026 06:41 PM,1.0,5892164.0,M/S SHRI SHYAMJI BUILDERS,INR,"10,331,719.37",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2026_UPPRC_1113225_1,35/GM-4/UPPCL/2025-26 Dated 04-02-2026,"TOURISM DEVLOPMENT WORK OF SHRI RADHA KRISHNA TEMPLE AT GRAM ASWAI, SIRSAGANJ IN DISTRICT- FIROZABAD (U.P.)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5892164,M/S SHRI SHYAMJI BUILDERS,18-Feb-2026 01:12 PM,Accepted-AOC,L1,09-Apr-2026 04:10 PM,,,,,,,,,,AOC
