S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,DD - Demand Draft,"2,008",EXECUTIVE OFFICER,NAGAR PANCHAYAT KITHAUR,Yes,07-Apr-2026 09:00 AM,27-Apr-2026 04:00 PM,07-Apr-2026 09:00 AM,27-Apr-2026 03:00 PM,NA ,NA ,07-Apr-2026 09:00 AM,27-Apr-2026 03:00 PM,28-Apr-2026 12:40 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,POOJA SINGH,NP KITHAUR,Construction of Pump House and Store in tanki compound at nagar panchayat Kithore,Construction of Pump House and Store in tanki compound at nagar panchayat Kithore,Please refer Tender documents. ,NA ,"17,02,455",Civil Works - Others,NA ,Tender,30.0,30.0,NP KITHAUR,250104.0,NA ,NA ,NA ,NP KITHAUR,No ,No,Directorate of Local Bodies UP||Nagar Panchayat Kithore Meerut,120/NPK/15CFC-AVN-SFC,2026_DOLBU_1133813_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,70,246",Yes,fixed,,EXECUTIVE OFFICER,NAGAR PANCHAYAT KITHAUR,AOC,Pooja Singh,Internal,two,Pooja Singh,28-Apr-2026 12:39 PM,28-Apr-2026 12:40 PM,techsummary_2116440.pdf (50.17 KB),Technical,accepted,Pooja Singh,28-Apr-2026 12:17 PM,technical_2116440.pdf,1.0,6069687.0,M/S JAN MOHAMMAD,26-Apr-2026 10:51 AM,Accepted-AOC,lowest,29-Apr-2026 02:48 PM,Directorate of Local Bodies UP||Nagar Panchayat Kithore Meerut,2026_DOLBU_1133813_1,120/NPK/15CFC-AVN-SFC,Construction of Pump House and Store in tanki compound at nagar panchayat Kithore,AOC
2,BC - Bankers Cheque,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,6068519.0,M/S MAYANK JAIN,25-Apr-2026 02:09 PM,Rejected-AOC,highest,29-Apr-2026 02:48 PM,,,,,AOC
3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3.0,6067995.0,SUNRISE CONSTRUCTION,25-Apr-2026 10:45 AM,Rejected-AOC,lowest 2,29-Apr-2026 02:48 PM,,,,,AOC
4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
