Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
30-Apr-2026,"INR 164,125,313.42",700.0,Brijesh Kumar,30-Apr-2026 01:24 PM,LOT_1_AOC.pdf (212.00 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",2026_UPIDC_1129127_1,07/SE-IV/2025-26,"LOT-1 Restoration of Hamirpur Branch from Km 23.070 to Km 59.100 and demarcation of canal land under Betwa Canal Division-I, District Jalaun.",1.0,6042695.0,M/s Kaiser Construction Engineers and Contractor,INR,"164,125,313.42",1,6042915,BHAMAR SINGH,13-Apr-2026 09:48 AM,Rejected-AOC,L3,30-Apr-2026 01:24 PM,Finance,All bids are admitted,Brijesh Kumar,30-Apr-2026 01:13 PM,,BOQ Comparative Chart,Brijesh Kumar,Internal,jitendra kanaujia,Brijesh Kumar,21-Apr-2026 04:59 PM,23-Apr-2026 11:30 AM,techsummary_2106264.pdf (296.48 KB),Technical,All bids are admitted,Brijesh Kumar,13-Apr-2026 03:42 PM,,Brijesh Kumar,Internal,Jitendra kanaujia,Brijesh Kumar,30-Apr-2026 01:22 PM,finsummary_2106264.pdf (1101.01 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"41,80,000",No,fixed,,Nil,Nil,"7,000",Nil,Nil,No,27-Mar-2026 10:00 AM,13-Apr-2026 03:30 PM,27-Mar-2026 10:00 AM,13-Apr-2026 03:00 PM,NA ,NA ,27-Mar-2026 10:00 AM,13-Apr-2026 03:00 PM,23-Apr-2026 11:30 AM,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",07/SE-IV/2025-26,2026_UPIDC_1129127_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"LOT-1 Restoration of Hamirpur Branch from Km 23.070 to Km 59.100 and demarcation of canal land under Betwa Canal Division-I, District Jalaun.","LOT-1 Restoration of Hamirpur Branch from Km 23.070 to Km 59.100 and demarcation of canal land under Betwa Canal Division-I, District Jalaun.",Please refer Tender documents. ,NA ,"20,90,20,000",Civil Works - Canal,NA ,Tender,90.0,700.0,Jalaun,285123.0,NA ,NA ,NA ,"Office of the Superintending Engineer, Fourth Circ",No ,No,"Superintending Engineer, Fourth Circle, Irrigation","Office of the Superintending Engineer, Fourth Circle I.W. civil lines Jhansi",AOC
,,,,,,,,,,,,,,,,2,6042695,M/s Kaiser Construction Engineers and Contractor,13-Apr-2026 01:25 PM,Accepted-AOC,L1,30-Apr-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Finance BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6043882,Pratap Construction,13-Apr-2026 02:01 PM,Rejected-Technical,Not qualified due to insufficient Similar work experience certificate uploaded as per eligibility criteria,21-Apr-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6043526,Sai Infraconstruction Pvt. Ltd.,13-Apr-2026 02:30 PM,Rejected-Technical,Not qualified due to non Similar work experience certificate uploaded as per eligibility criteria,21-Apr-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6043481,VELJI RATNA SORATHIA INFRA PVT. LTD,13-Apr-2026 01:38 PM,Rejected-AOC,L2,30-Apr-2026 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
