Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Baruasagar Jhansi,2026_DOLBU_1128614_1,492/Gauvansh/Supply/20-03-2026,"Supply of Nagar Palika Parishad Baruasagar me Gaushala me Upasthith Gauvansh ke liye Bhusa,Hara chara Pashu Ahar etc. Apoorti Ka kary",1.0,6029344.0,DILIP KUMAR THEKEDAR,INR,"2,178,000",1,6029344,DILIP KUMAR THEKEDAR,04-Apr-2026 02:22 PM,Accepted-AOC,L1 Dilip Kumar Thekedar,13-Apr-2026 08:48 PM,13-Apr-2026,"INR 2,178,000",365.0,Ravi Kumar Arya,13-Apr-2026 08:48 PM,Gaushalaopen.pdf (224.00 KB),Dilip Kumar Thekedar,RDYADAV,Internal,"Raviarya,Amoksrivastava",Ravi Kumar Arya,11-Apr-2026 08:15 PM,13-Apr-2026 10:00 AM,techsummary_2104988.pdf (223.99 KB),Finance,L1 .............Dilip Kumar,Ravi Kumar Arya,13-Apr-2026 08:38 PM,finance_2104988.pdf,BOQ Comparative Chart,RDYADAV,Internal,Raviarya..amokshriwasatav,Ravi Kumar Arya,13-Apr-2026 08:44 PM,finsummary_2104988.pdf (223.99 KB),Technical,All three bids are technically qualified.....................,Ravi Kumar Arya,11-Apr-2026 08:04 PM,technical_2104988.pdf,AOC,"2,20,000",Yes,percentage,10.0%,FC,Lucknow,EO NPP Baruasagar,Nagar Palika Parishad Baruasagar,21-Mar-2026 10:00 AM,06-Apr-2026 02:00 PM,21-Mar-2026 10:00 AM,06-Apr-2026 12:00 PM,NA ,NA ,21-Mar-2026 10:00 AM,06-Apr-2026 12:00 PM,13-Apr-2026 10:00 AM,"Supply of Nagar Palika Parishad Baruasagar me Gaushala me Upasthith Gauvansh ke liye Bhusa,Hara chara Pashu Ahar etc. Apoorti Ka kary","Supply of Nagar Palika Parishad Baruasagar me Gaushala me Upasthith Gauvansh ke liye Bhusa,Hara chara Pashu Ahar etc. Apoorti Ka kary",Please refer Tender documents. ,NA ,"22,00,000",Supply of Materials,NA ,Tender,365.0,365.0,Nagar Palika Parishad Baruasagar Jhansi,284201.0,NA ,NA ,NA ,NPP Baruasagar,No ,No,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,Time Extand,Date,,"2,846",EO,NPP Baruasagar,No,Directorate of Local Bodies UP||Nagar Palika Parishad Baruasagar Jhansi,492/Gauvansh/Supply/20-03-2026,2026_DOLBU_1128614_1,Yes,Open Tender,Percentage,Goods,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,2,6029469,Dinesh Kumar,04-Apr-2026 03:57 PM,Rejected-Finance,Reject,13-Apr-2026 08:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6029425,Sadhna,04-Apr-2026 03:43 PM,Rejected-Finance,Reject,13-Apr-2026 08:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
