Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
07-Apr-2026,"INR 280,186.2",15.0,Dinesh Mohan,07-Apr-2026 05:10 PM,16.pdf (182.00 KB),AOC,Technical,AS PER UPLOAD,Dinesh Mohan,20-Feb-2026 08:50 PM,,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,21-Feb-2026 11:14 AM,23-Feb-2026 05:00 PM,techsummary_2054851.pdf (44.99 KB),1.0,5853679.0,KALAYANI CONSTRUTION,INR,"280,186.2",Finance,AS PER UPLOAD,Dinesh Mohan,25-Feb-2026 11:05 AM,,BOQ Comparative Chart,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,25-Feb-2026 04:42 PM,finsummary_2054851.pdf (39.48 KB),1,5850875,AKANKSHA ASSOCIATES,08-Feb-2026 09:44 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1111706_16,06/EE/2025-26,Clearance of Gorkhar Drian from KM 0.000 to KM 6.800 in District Basti,AOC,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",06/EE/2025-26,2026_UPIDC_1111706_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"14,000",Yes,fixed,,Nil,Nil,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.P)",Clearance of Gorkhar Drian from KM 0.000 to KM 6.800 in District Basti,Clearance of Gorkhar Drian from KM 0.000 to KM 6.800 in District Basti,Please refer Tender documents. ,NA ,"7,14,000",Civil Works,NA ,Rate Contract,90.0,15.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,1.0,SBI Bank,795.0,Nil,Nil,No,03-Feb-2026 10:00 AM,09-Feb-2026 12:30 PM,03-Feb-2026 10:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 10:00 AM,09-Feb-2026 12:00 PM,23-Feb-2026 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5844053,devendra kumar pandey,05-Feb-2026 10:36 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,2.0,Finance,.xls,AS PER UPLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5853679,KALAYANI CONSTRUTION,09-Feb-2026 07:10 AM,Accepted-AOC,AS PER UPLOAD,07-Apr-2026 05:10 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5855767,M/S A D S CONSTRUCTION,09-Feb-2026 11:58 AM,Rejected-Technical,AS PER UPLOAD,21-Feb-2026 11:14 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5852027,M/S AMIT KUMAR SINGH,08-Feb-2026 09:00 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5845215,M/S ANIL KUMAR BARNWAL THEKEDAR,09-Feb-2026 10:25 AM,Rejected-AOC,AS PER UPLOAD,07-Apr-2026 05:10 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5855364,M/S ATULIKA SINGH ENTERPRISES,09-Feb-2026 10:55 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5854714,M/S BADRUNNISHA CONTRACTOR,09-Feb-2026 02:05 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5850619,M/S BANSHI DHAR PANDEY CONTRACTOR,08-Feb-2026 04:09 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5849519,M/S DEVNARAYAN YADAV,07-Feb-2026 02:23 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5854537,M/S NISHU ENTERPRISES,09-Feb-2026 12:41 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5853412,M/S OM PRAKASH,08-Feb-2026 09:04 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5855443,M/S RAJKUMAR PANDEY THEKEDAR,09-Feb-2026 11:03 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5841414,M/S SINGH CONSTRUCTION COMPANY,07-Feb-2026 02:32 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5849984,M/S S S ENTERPRISES PRO. SURENDRA,09-Feb-2026 11:32 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5854486,M/S VATS PANDEY,09-Feb-2026 01:26 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5853854,M/S VISHNUDEV UPADHYAY CONTRACTOR,08-Feb-2026 09:24 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5850569,Pratap Narayan Mishra,08-Feb-2026 03:01 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 04:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
