S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,"5,900",Nil,Nil,No,Construction of Marriage Hall in the Village of Simrawari Devlopment Block Babina,Construction of Marriage Hall in the Village of Simrawari Devlopment Block Babina,AS PER NIT ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Jhansi,284003.0,NA ,NA ,NA ,Jhansi,No ,No,1,Fee/PreQual/Technical,.pdf,Technical,23-Mar-2026 09:00 AM,28-Mar-2026 04:00 PM,23-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,23-Mar-2026 09:00 AM ,28-Mar-2026 03:00 PM ,23-Mar-2026 09:00 AM,28-Mar-2026 03:00 PM,01-Apr-2026 02:00 PM,"46,000",No,fixed,,Nil,Nil,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,07/PM12/UPPCL/2025-26,2026_UPPRC_1128918_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Project Manager Unit 12,129 KK PURI AWAS VIKAS JHANSI,AOC,Technical,Two bids admitted,PRAVEEN KUMAR SHARMA,29-Mar-2026 12:06 PM,technical_2105835.pdf,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,20-Apr-2026 01:08 PM,finsummary_2105835.pdf (1030.25 KB),Finance,Two Bid Admitted,PRAVEEN KUMAR SHARMA,20-Apr-2026 11:42 AM,finance_2105835.pdf,BOQ Comparative Chart,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,01-Apr-2026 12:45 PM,01-Apr-2026 02:00 PM,techsummary_2105835.pdf (2854.32 KB),20-Apr-2026,"INR 1,933,644.2",30.0,PRAVEEN KUMAR SHARMA,20-Apr-2026 02:18 PM,aoc8.pdf (402.00 KB),1.0,6016290.0,RUDRAKSH ELECTRICAL AND CONSTRUCTION,INR,"1,933,644.2",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2026_UPPRC_1128918_8,07/PM12/UPPCL/2025-26,Construction of Marriage Hall in the Village of Simrawari Devlopment Block Babina,1,6016116,ONES ASSOCIATION,28-Mar-2026 01:07 PM,Rejected-AOC,l2,20-Apr-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6016290,RUDRAKSH ELECTRICAL AND CONSTRUCTION,28-Mar-2026 02:28 PM,Accepted-AOC,l1,20-Apr-2026 02:18 PM,AOC
