Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid Opening Summary,ADITYA KUMAR SINGH,16-Apr-2026 04:24 PM,,BOQ Comparative Chart,"ADITYA KUMAR SINGH, BDO RAJIV, JE RED NARENDRA KUMAR GUPTA, ACCOUNTANT",Internal,,ADITYA KUMAR SINGH,13-Apr-2026 05:18 PM,15-Apr-2026 10:00 AM,techsummary_2111428.pdf (2476.05 KB),1.0,6042424.0,BHAGWAN VENKTES CONSTRUCTION AND SUPPLIERS,12-Apr-2026 05:33 PM,Rejected-AOC,L2,16-Apr-2026 05:16 PM,16-Apr-2026,"INR 981,393.95",90.0,ADITYA KUMAR SINGH,16-Apr-2026 05:16 PM,7.pdf (57.00 KB),AOC,1.0,6042463.0,MAA ENTERPRISES,INR,"981,393.95","ADITYA KUMAR SINGH, BDO RAJIV, JE RED NARENDRA KUMAR GUPTA, ACCOUNTANT",Internal,,ADITYA KUMAR SINGH,16-Apr-2026 04:35 PM,finsummary_2111428.pdf (2476.05 KB),Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Bairia,2026_RDUP_1131541_1,1105 Date 28-03-2026 work no 7,graam panchaayat kotava mein peech rod se intar kaalej tak see0see0 rod ka nirmaan kaary.,Technical,Bid Opening Summary,ADITYA KUMAR SINGH,13-Apr-2026 04:57 PM,,AOC,"1,000",BDO BAIRIA,BAIRIA,No,30-Mar-2026 11:00 AM,13-Apr-2026 04:00 PM,30-Mar-2026 11:00 AM,13-Apr-2026 03:00 PM,NA ,NA ,30-Mar-2026 11:00 AM,13-Apr-2026 03:00 PM,15-Apr-2026 10:00 AM,BDO BAIRIA,BDO OFFICE BAIRIA,"19,646",No,fixed,,BDO BAIRIA,BAIRIA,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Bairia,1105 Date 28-03-2026 work no 7,2026_RDUP_1131541_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,DD - Demand Draft,graam panchaayat kotava mein peech rod se intar kaalej tak see0see0 rod ka nirmaan kaary.,graam panchaayat kotava mein peech rod se intar kaalej tak see0see0 rod ka nirmaan kaary.,NIT ,NA ,"9,82,278",Civil Works,NA ,Tender,90.0,90.0,KP BAIRIA,277201.0,NA ,NA ,NA ,BDO OFFICE BAIRIA,No ,No,AOC
,,,,,,,,,,,,,2.0,6042463.0,MAA ENTERPRISES,12-Apr-2026 05:41 PM,Accepted-AOC,L1,16-Apr-2026 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3.0,6042499.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,12-Apr-2026 05:25 PM,Rejected-AOC,L3,16-Apr-2026 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,AOC
