S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5832794.0,M/S KIRAN FARMS AND SERVICES,INR,"3,018,437.99",Greater Noida Industrial Development Authority,2026_GNIDA_1107495_4,SM/(TENDER CELL)/2026/700 DATED-14.01.2026,"Supply of Various (Poted, Ornamental, Seasonal) Flowers For Eta-I Nursery, Greater Noida.",1,5832794,M/S KIRAN FARMS AND SERVICES,01-Feb-2026 12:54 PM,Accepted-AOC,L1,06-Apr-2026 04:31 PM,06-Apr-2026,"INR 3,018,437.99",14.0,RAM KUMAR,06-Apr-2026 04:31 PM,7002.pdf (490.00 KB),AWARD LETTER,OSD_H,Internal,DGM_FINANCE SM_WC-6 SM_TECHNICAL,RAM KUMAR,13-Feb-2026 01:51 PM,13-Feb-2026 05:00 PM,techsummary_2044232.pdf (208.51 KB),Finance,UNDER EVALUATION,RAKESH BABU,13-Feb-2026 05:05 PM,,BOQ Comparative Chart,GM_PROJECT,Internal,DGM_FINANCE SM_WC-8 SM_TECHNICAL,RAM KUMAR,06-Apr-2026 04:27 PM,finsummary_2044232.pdf (137.52 KB),Technical,UNDER EVALUATION,RAKESH BABU,04-Feb-2026 12:11 PM,,AOC,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",1.0,SBI Bank,990.0,Nil,Nil,No,SM_TENDER CELL,GNIDA OFFICE,"78,400",No,fixed,,Nil,Nil,"Supply of Various (Poted, Ornamental, Seasonal) Flowers For Eta-I Nursery, Greater Noida.","Supply of Various (Poted, Ornamental, Seasonal) Flowers For Eta-I Nursery, Greater Noida.",REFER TENDER DOCUMENT ,NA ,"39,19,540",Miscellaneous Works,HORTICULTURE WORK ,Tender,90.0,14.0,GREATER NOIDA,201308.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,Greater Noida Industrial Development Authority,SM/(TENDER CELL)/2026/700 DATED-14.01.2026,2026_GNIDA_1107495_4,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,REVISED SCHEDULE 1,Date,,19-Jan-2026 06:30 PM,04-Feb-2026 11:00 AM,19-Jan-2026 06:30 PM,02-Feb-2026 05:00 PM,NA ,NA ,19-Jan-2026 06:30 PM,02-Feb-2026 05:00 PM,13-Feb-2026 05:00 PM,AOC
,,,,,,,,,2,5838363,M/S K.P. SINGH,02-Feb-2026 04:39 PM,Rejected-Finance,L2,06-Apr-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5828720,M/S RAVI ASSOCIATES,02-Feb-2026 12:11 PM,Rejected-Finance,L3,06-Apr-2026 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5837608,RR Construction Co,02-Feb-2026 02:47 PM,Rejected-Technical,DIS-QUALIFIED,13-Feb-2026 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5827371,S D TRADERS,27-Jan-2026 04:11 PM,Rejected-Technical,DIS-QUALIFIED,13-Feb-2026 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
