S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,SBI Bank,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,76/E-Tender/2025-26 dt. 12.01.2026,2026_PWDBL_1106912_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"56,700",No,fixed,,Nil,Nil,860.0,Nil,Nil,No,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,19-Jan-2026 09:00 AM,24-Jan-2026 12:30 PM,19-Jan-2026 09:00 AM,24-Jan-2026 12:00 PM,NA ,NA ,19-Jan-2026 09:00 AM,24-Jan-2026 12:00 PM,"Vikramaditya Marg sthit Naya UpMantri Awas No.-10 me Kitchen ko modular kitchen banana, awason ke do snangreh/shauchalaya ka naveenikaran karna, purani khidkiyon ke sthan par 08 UPVC ki khidkiyan lagana, va almari me aluminium ke darwaze lagana ave","Vikramaditya Marg sthit Naya UpMantri Awas No.-10 me Kitchen ko modular kitchen banana, awason ke do snangreh/shauchalaya ka naveenikaran karna, purani khidkiyon ke sthan par 08 UPVC ki khidkiyan lagana, va almari me aluminium ke darwaze lagana ave",Please refer Tender documents. ,NA ,"5,67,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,20-Jan-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,AOC,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,21-Apr-2026 06:47 PM,finsummary_2042469.pdf (1629.50 KB),EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,21-Apr-2026 06:41 PM,techsummary_2042469.pdf (1629.50 KB),Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1106912_8,76/E-Tender/2025-26 dt. 12.01.2026,"Vikramaditya Marg sthit Naya UpMantri Awas No.-10 me Kitchen ko modular kitchen banana, awason ke do snangreh/shauchalaya ka naveenikaran karna, purani khidkiyon ke sthan par 08 UPVC ki khidkiyan lagana, va almari me aluminium ke darwaze lagana ave",1.0,5820963.0,M/S Rai Traders,INR,"560,294",1,5820967,M.K ENTERPRISES,23-Jan-2026 08:44 PM,Rejected-Finance,Financial bid Rejected due to L2,21-Apr-2026 06:47 PM,21-Apr-2026,"INR 560,294",30.0,DILIP KUMAR,21-Apr-2026 06:50 PM,702.pdf (1457.00 KB),AOC for Acceptance No 702 date 17.04.2026,Finance,Evaluation Letter,DILIP KUMAR,12-Feb-2026 05:37 PM,finance_2042469.pdf,BOQ Comparative Chart,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5820963,M/S Rai Traders,24-Jan-2026 04:53 AM,Accepted-AOC,Financial bid is accepted at the Price Rs. 560294.00 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,21-Apr-2026 06:50 PM,,,,,,,,,,,,,,AOC
