Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,281/E-Tender/2025-26 dt. 09.02.2026,2026_PWDBL_1115187_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,770.0,Nil,Nil,No,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,1.0,SBI Bank,16-Feb-2026 09:00 AM,21-Feb-2026 12:30 PM,16-Feb-2026 09:00 AM,21-Feb-2026 12:00 PM,NA ,NA ,16-Feb-2026 09:00 AM,21-Feb-2026 12:00 PM,"49,500",No,fixed,,Nil,Nil,"Upper Dalibag colony sthit type-4 ke block no-5, 6 evam 7 ke boundary wall ki rangai putai ka karya","Upper Dalibag colony sthit type-4 ke block no-5, 6 evam 7 ke boundary wall ki rangai putai ka karya",Please refer Tender documents. ,NA ,"4,95,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,17-Feb-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,AOC,1,5895390,M/S APRAMEYA CONSTRUCTION,19-Feb-2026 09:11 AM,Accepted-AOC,Financial bid is accepted at the Price Rs. 418522.00 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,29-Apr-2026 01:04 PM,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1115187_10,281/E-Tender/2025-26 dt. 09.02.2026,"Upper Dalibag colony sthit type-4 ke block no-5, 6 evam 7 ke boundary wall ki rangai putai ka karya",EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,29-Apr-2026 01:01 PM,finsummary_2070671.pdf (2588.76 KB),1.0,5895390.0,M/S APRAMEYA CONSTRUCTION,INR,"418,522",29-Apr-2026,"INR 418,522",30.0,DILIP KUMAR,29-Apr-2026 01:04 PM,667.pdf (635.00 KB),AOC for Acceptance No 667 date 08.04.2026,Finance,Evaluation Letter,DILIP KUMAR,10-Mar-2026 02:40 PM,finance_2070671.pdf,BOQ Comparative Chart,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,29-Apr-2026 12:58 PM,techsummary_2070671.pdf (2588.76 KB),AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5895439,M/S B.L.ENTERPRISES,19-Feb-2026 09:41 AM,Rejected-Finance,Financial bid Rejected due to L2,29-Apr-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
