Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,0135/EE/JNP/2025-26 dt-12-02-2026,2026_SCIDC_1115441_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,SIKRARA BADHAULI AHIRAN RAM MOHAN HARIJAN RES TO PAKKI SADAK TAK 200 MTR INTERLOKING UNDER MLA MALHANI,SIKRARA BADHAULI AHIRAN RAM MOHAN HARIJAN RES TO PAKKI SADAK TAK 200 MTR INTERLOKING UNDER MLA MALHANI,Please refer Tender documents. ,NA ,"7,16,646",Civil Works,INTERLOKING ,Tender,90.0,90.0,BADHAULI SIKRARA,222002.0,NA ,NA ,NA ,Ex enginner office UPSCIDC LTD JAUNPUR,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Ex enginner UPSCIDC LTD JAUNPUR,VAN VIHAR ROAD BHUPATPATTI JAUNPUR,"1,062",Ex engineer upscidc ltd,JAUNPUR,No,30-Mar-2026 09:00 AM,10-Apr-2026 01:00 PM,30-Mar-2026 09:00 AM,10-Apr-2026 12:00 PM,NA ,NA ,30-Mar-2026 09:00 AM,10-Apr-2026 12:00 PM,15-Apr-2026 02:00 PM,"16,000",No,fixed,,Ex engineer upscidc ltd,JAUNPUR,1,DD - Demand Draft,AOC,SRI YN KUSHWAHA,Internal,SRI VAIBHAV TRIPATHI,Yogendra Nath Kushwaha,15-Apr-2026 01:54 PM,15-Apr-2026 02:00 PM,techsummary_2111201.pdf (481.83 KB),Finance,TWO BID FOUND FOR THE TENDER,Yogendra Nath Kushwaha,18-Apr-2026 01:20 PM,finance_2111201.pdf,BOQ Comparative Chart,Y.N. KUSHWAHA,Internal,VAIBAHV TRIPATHI,Yogendra Nath Kushwaha,18-Apr-2026 01:23 PM,finsummary_2111201.pdf (597.31 KB),Technical,two bid found for the tender,Yogendra Nath Kushwaha,15-Apr-2026 01:52 PM,technical_2111201.pdf,1.0,6035019.0,SHIVAM CONSTRUCTION,INR,"715,858",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Jaunpur,2026_SCIDC_1115441_2,0135/EE/JNP/2025-26 dt-12-02-2026,SIKRARA BADHAULI AHIRAN RAM MOHAN HARIJAN RES TO PAKKI SADAK TAK 200 MTR INTERLOKING UNDER MLA MALHANI,1.0,6039647.0,RAJENDRA KUMAR YADAV,10-Apr-2026 09:58 AM,Rejected-Finance,2,18-Apr-2026 01:23 PM,18-Apr-2026,"INR 715,858",90.0,Yogendra Nath Kushwaha,18-Apr-2026 01:34 PM,AOC.pdf (741.00 KB),SHIVAM CONSTRUCTION FOUND L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6035019.0,SHIVAM CONSTRUCTION,10-Apr-2026 09:11 AM,Accepted-AOC,L1,18-Apr-2026 01:33 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
