Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,596/E E/Ayo/E Tender/MLA Amethi/25-26 23.01.2026,2026_SCIDC_1108915_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,FDR - Fixed Deposit,1,Fee/PreQual/Technical,.pdf,Under MLA Fund Scheme Construction of Smriti Gate at Block Amethi Distt Amethi,"22,000",No,fixed,,E E U P Scidco,Ayodhya,Under MLA Fund Scheme Construction of Smriti Gate at Block Amethi Distt Amethi,Under MLA Fund Scheme Construction of Smriti Gate at Block Amethi Distt Amethi,Please refer Tender documents. ,NA ,,Construction Works,Construction of Smriti Gate at Block Amethi  ,Tender,90.0,90.0,Amethi,227405.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,27-Jan-2026 11:00 AM ,EE office up scidco,No ,No,"1,652",online,Ayodhya,No,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,24-Jan-2026 09:00 AM,31-Jan-2026 11:00 AM,24-Jan-2026 09:15 AM,31-Jan-2026 09:00 AM,NA ,NA ,24-Jan-2026 10:00 AM,31-Jan-2026 09:00 AM,25-Mar-2026 05:50 PM,AOC,Finance,Financial Bid opening summary,Jagpal Verma,28-Mar-2026 04:34 PM,finance_2047607.pdf,BOQ Comparative Chart,EE,Internal,E E Asst Acct,Jagpal Verma,25-Mar-2026 05:48 PM,25-Mar-2026 05:50 PM,techsummary_2047607.pdf (292.08 KB),Technical,Technical Bid opening summary,Jagpal Verma,25-Mar-2026 05:32 PM,technical_2047607.pdf,EE,Internal,EE Asst Actt,Jagpal Verma,28-Mar-2026 04:36 PM,finsummary_2047607.pdf (369.10 KB),02-Apr-2026,"INR 1,085,000",90.0,Jagpal Verma,03-Apr-2026 01:16 PM,LIO.pdf (383.00 KB),Under MLA Fund Scheme Construction of Smriti Gate at Block Amethi Distt Amethi,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1108915_1,596/E E/Ayo/E Tender/MLA Amethi/25-26 23.01.2026,Under MLA Fund Scheme Construction of Smriti Gate at Block Amethi Distt Amethi,1.0,5833747.0,M/s Abbas Ali,INR,"1,085,000",1,5833747,M/s Abbas Ali,30-Jan-2026 11:37 PM,Accepted-AOC,ok,03-Apr-2026 01:17 PM,AOC
,,,,,,,,,,,,,,2,RTGS - RTGS Payment,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5833795,"PUSHPA MISHRA CONTRACTOR 290K, KASBA KNI, SULTANPUR 228118",31-Jan-2026 02:01 AM,Rejected-Finance,not ok,28-Mar-2026 04:36 PM,AOC
