S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,Financial Evalution,Financial Evaluation,28-Mar-2026 05:25 PM,FinancialEvaluation.pdf ,24.29,Financial Opening,1,5990322,SAUVYA ENTERPRISES,22-Mar-2026 03:06 PM,Rejected-AOC,L2,10-Apr-2026 05:54 PM,1.0,5991464.0,SUDHA CONSTRUCTION AND SUPPLIER,INR,"3,404,335.91",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE AURAIYA,2026_REDUP_1125830_1,1583/RED/Account/Tender No/25-26 Dt 20.02.2026,Work of installation of solar lights (160 nos.) in development block Bidhuna (As per the list of Honorable MLA (1),29-Mar-2026,"INR 3,404,335.91",90.0,Shiv Prakash Pandey,10-Apr-2026 05:54 PM,135.pdf (409.00 KB),Shri Shiv Prakash Pandey EE,Internal,Shri Ashok Kumar AE and Shri Shourya Awasthi DAO,Ashok Kumar,23-Mar-2026 06:48 PM,25-Mar-2026 04:00 PM,techsummary_2099015.pdf (468.96 KB),Finance,Summary,Ashok Kumar,28-Mar-2026 05:44 PM,finance_2099015.pdf,BOQ Comparative Chart,Shri Shiv Prakash Pandey EE,Internal,Shri Ashok Kumar AE and Shri Shourya Awasthi DAO,Ashok Kumar,28-Mar-2026 05:53 PM,finsummary_2099015.pdf (332.74 KB),Technical,Summary,Ashok Kumar,23-Mar-2026 05:26 PM,technical_2099015.pdf,AOC,1.0,SBI Bank,"68,200",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,NIT,"2,715",Nil,Nil,No,17-Mar-2026 06:00 PM,23-Mar-2026 12:30 PM,18-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,NA ,NA ,18-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,25-Mar-2026 04:00 PM,Work of installation of solar lights (160 nos.) in development block Bidhuna (As per the list of Honorable MLA (1),Work of installation of solar lights (160 nos.) in development block Bidhuna (As per the list of Honorable MLA (1),Please refer Tender documents. ,NA ,"34,08,000",Civil Works,NA ,Tender,90.0,90.0,Auraiya,206244.0,NA ,NA ,NA ,Office of the Executive Engineer RED Auraiya,No ,No,Executive Engineer RED Auraiya,Office of the Executive Engineer RED Auraiya,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE AURAIYA,1583/RED/Account/Tender No/25-26 Dt 20.02.2026,2026_REDUP_1125830_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,2,5991464,SUDHA CONSTRUCTION AND SUPPLIER,22-Mar-2026 03:59 PM,Accepted-AOC,L1,10-Apr-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
