S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,"CHIEF ENGINEER, KMC",Motijheel,12-Jan-2026 01:50 PM,16-Jan-2026 04:00 PM,12-Jan-2026 01:50 PM,16-Jan-2026 03:00 PM,NA ,NA ,12-Jan-2026 01:50 PM,16-Jan-2026 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,Improvement of Road and drain in Tadbagiya kailash Nagar From H/O Usman Bhai To H/o Arif Bhai in ward 58 under zone 02.,Improvement of Road and drain in Tadbagiya kailash Nagar From H/O Usman Bhai To H/o Arif Bhai in ward 58 under zone 02.,Please refer Tender documents. ,NA ,"9,99,318",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,"1,180",Nil,Nil,No,"Kanpur Municipal Corporation, Kanpur, UP",519/AA-2/25-26,2026_NNKAN_1105562_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"99,932",No,percentage,10.0%,Nil,Nil,AOC,CE,Internal,,DIVAKAR BHASKAR,29-Jan-2026 01:26 PM,techsummary_2039878.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,29-Jan-2026 01:28 PM,finsummary_2039878.pdf (194.18 KB),Finance,M/S BABA ANANDESWAR SUPPLIERS,DIVAKAR BHASKAR,29-Jan-2026 01:23 PM,,BOQ Comparative Chart,1,5806909,M/S BABA ANANDESWAR SUPPLIERS,15-Jan-2026 05:29 PM,Accepted-AOC,AOC,08-Apr-2026 07:15 PM,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1105562_1,519/AA-2/25-26,Improvement of Road and drain in Tadbagiya kailash Nagar From H/O Usman Bhai To H/o Arif Bhai in ward 58 under zone 02.,1.0,5806909.0,M/S BABA ANANDESWAR SUPPLIERS,INR,"840,951",07-Apr-2026,"INR 840,951",45.0,DIVAKAR BHASKAR,08-Apr-2026 07:15 PM,1105562babaanadsupl.pdf (651.00 KB),AOC
,,,,,,,,,,,,,,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,5807105,REETIKA ENTERPRISES,15-Jan-2026 06:36 PM,Rejected-Finance,L2,29-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,AOC
