Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,2687/RED/PVN-Harriya/2025-26 Dt. 17.02.26,2026_REDUP_1129958_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Gram Sabha Kanropur Pitch se Divhar Baba ke Sthan Hote Huye Ramayan Singh ke ghar tak Cc road nirman karya,Gram Sabha Kanropur Pitch se Divhar Baba ke Sthan Hote Huye Ramayan Singh ke ghar tak Cc road nirman karya,as per sbd ,NA ,"11,47,000",Civil Works,NA ,Tender,90.0,90.0,works,272001.0,NA ,NA ,NA ,O/O EE REDBASTI,No ,No,944.0,Nil,Nil,No,25-Mar-2026 12:00 PM,02-Apr-2026 12:30 PM,25-Mar-2026 12:00 PM,02-Apr-2026 12:00 PM,25-Mar-2026 12:00 PM ,02-Apr-2026 12:00 PM ,25-Mar-2026 12:00 PM,02-Apr-2026 12:00 PM,11-Apr-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,technical,EE REDBASTI,O/O EE REDBASTI,1.0,SBI Bank,"23,000",Yes,fixed,,Nil,Nil,AOC,ER ANKUR VERMA,Internal,EE,Ankur Verma,13-Apr-2026 01:16 PM,finsummary_2107886.pdf (22.04 KB),Technical,c,Ankur Verma,09-Apr-2026 11:44 AM,,ER ANKUR VERMA,Internal,ee,Ankur Verma,09-Apr-2026 12:05 PM,11-Apr-2026 12:00 PM,techsummary_2107886.pdf (259.53 KB),Finance,c,Ankur Verma,13-Apr-2026 12:40 PM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,2026_REDUP_1129958_4,2687/RED/PVN-Harriya/2025-26 Dt. 17.02.26,Gram Sabha Kanropur Pitch se Divhar Baba ke Sthan Hote Huye Ramayan Singh ke ghar tak Cc road nirman karya,1.0,6006837.0,M/S SUSHAMA PANDEY CONTRACTOR,INR,"1,146,506.85",1,6007113,M/S KRISHNA KUMAR PANDEY CONTRACTOR,31-Mar-2026 12:53 AM,Rejected-Finance,R,13-Apr-2026 01:16 PM,28-Apr-2026,"INR 1,146,506.85",90.0,Ankur Verma,28-Apr-2026 11:39 AM,boqcomparativechart4.pdf (22.00 KB),a,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6006837,M/S SUSHAMA PANDEY CONTRACTOR,30-Mar-2026 11:30 PM,Accepted-AOC,a,28-Apr-2026 11:39 AM,,,,,,,,AOC
