Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
13-Mar-2026,"INR 2,921,019",90.0,Pramod Kumar,30-Apr-2026 03:32 PM,SINGH.pdf (366.00 KB),1.0,5912666.0,SINGHWAL INDUSTRIES,INR,"2,921,019","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-14, Garh Mukteshwar",2026_UPIDC_1116534_2,06/EE/2025-26,Construction of V.R.B. at km. 5.060 of Hasanpur Dy. under Madhya Ganga Canal Project - Stage II In District Amroha.,1,5902796,ABHISHEK ASSOCIATES,21-Feb-2026 11:26 AM,Rejected-Finance,BID IS REJECTED DUE TO L3,10-Mar-2026 05:26 PM,Finance,ok,Pramod Kumar,10-Mar-2026 04:29 PM,,BOQ Comparative Chart,PRAMOD KUMAR,Internal,,Pramod Kumar,05-Mar-2026 04:46 PM,05-Mar-2026 04:50 PM,techsummary_2073869.pdf (438.22 KB),Technical,OK,Pramod Kumar,27-Feb-2026 12:08 PM,,PRAMOD KUMAR,Internal,,Pramod Kumar,10-Mar-2026 05:26 PM,finsummary_2073869.pdf (2540.61 KB),AOC,"1,57,000",Yes,fixed,,Nil,Nil,944.0,Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,16-Feb-2026 01:15 PM,23-Feb-2026 05:00 PM,16-Feb-2026 01:15 PM,23-Feb-2026 10:00 AM,NA ,NA ,16-Feb-2026 01:15 PM,23-Feb-2026 10:00 AM,05-Mar-2026 04:50 PM,Construction of V.R.B. at km. 5.060 of Hasanpur Dy. under Madhya Ganga Canal Project - Stage II In District Amroha.,Construction of V.R.B. at km. 5.060 of Hasanpur Dy. under Madhya Ganga Canal Project - Stage II In District Amroha.,Please refer Tender documents. ,NA ,"31,47,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Amroha,222244.0,NA ,NA ,NA ,EE MGCCD 14 GARHMUKTESWAR HAPUR,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-14, Garh Mukteshwar",06/EE/2025-26,2026_UPIDC_1116534_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEERR,EE MGCCD 14 GARHMUKTESWAR HAPUR,AOC
,,,,,,,,,,,,,,,2,5905100,M/S SATYAVIR GIRI,21-Feb-2026 11:21 AM,Rejected-Technical,REJECTED DUE TO NOT QUALIFIED IN TECHNICAL EVALUATION,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,5909113,M/S SURENDRA KUMAR KAUSHIK,23-Feb-2026 08:03 AM,Rejected-Technical,REJECTED DUE TO NOT QUALIFIED IN TECHNICAL EVALUATION,05-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,5912666,SINGHWAL INDUSTRIES,22-Feb-2026 10:06 PM,Accepted-AOC,AOC IS AWARDED DUE TO L1,30-Apr-2026 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,5909577,SUPER ENTERPRISES,22-Feb-2026 03:07 PM,Rejected-Finance,BID IS REJECTED DUE TO L2,10-Mar-2026 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
