Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti",04/SE/2025-26,2026_UPIDC_1122380_17,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Other,Other,,"3,19,000",Yes,fixed,,Nil,Nil,"2,950",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,07-Mar-2026 10:00 AM,13-Mar-2026 03:00 PM,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,NA ,NA ,07-Mar-2026 10:00 AM,13-Mar-2026 02:30 PM,25-Mar-2026 10:00 AM,Anti Erosion Work Between Km. 24.020 to Km. 24.190 at Bhojpur-Shahpur Bund on left Bank of River Rapti in Distt. Siddharthnagar.,Anti Erosion Work Between Km. 24.020 to Km. 24.190 at Bhojpur-Shahpur Bund on left Bank of River Rapti in Distt. Siddharthnagar.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Siddharthnagar,272153.0,"Superintending Engineer, Gandak Flood Circle, Bast ","Superintending Engineer, Gandak Flood Circle, Basti ",07-Mar-2026 11:00 AM ,"Superintending Engineer, Gandak Flood Circle, Bast",No ,No,Superintending Engineer,"Superintending Engineer, Gandak Flood Circle, Basti",1.0,SBI Bank,AOC,1.0,5967534.0,M/S SOHRAT SINGH,INR,"13,473,524.01",Finance,Finance,Surendra Mohan Verma,26-Mar-2026 09:03 PM,finance_2090036.pdf,BOQ Comparative Chart,Surendra Mohan Verma,Internal,J P Singh,Surendra Mohan Verma,27-Mar-2026 09:06 PM,finsummary_2090036.pdf (102.43 KB),1,5969022,M/s Akansha Traders,12-Mar-2026 09:48 PM,Rejected-Technical,As Per Uploaded,23-Mar-2026 11:13 AM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti",2026_UPIDC_1122380_17,04/SE/2025-26,Anti Erosion Work Between Km. 24.020 to Km. 24.190 at Bhojpur-Shahpur Bund on left Bank of River Rapti in Distt. Siddharthnagar.,02-Apr-2026,"INR 13,473,524.01",60.0,Surendra Mohan Verma,21-Apr-2026 02:15 PM,L_17.pdf (324.00 KB),AOC,Technical,Fee/PreQual/Technical,Surendra Mohan Verma,23-Mar-2026 11:09 AM,technical_2090036.pdf,Surendra Mohan Verma,Internal,J.P. Singh,Surendra Mohan Verma,23-Mar-2026 11:13 AM,25-Mar-2026 10:00 AM,techsummary_2090036.pdf (1416.28 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5969087,M/S JEET CONSTRUCTION,13-Mar-2026 02:18 PM,Rejected-Finance,L3,27-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,5967534,M/S SOHRAT SINGH,12-Mar-2026 09:59 PM,Accepted-AOC,L1,21-Apr-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,5968861,M/S UMA SHANKAR YADAV,12-Mar-2026 10:43 PM,Rejected-Finance,L2,27-Mar-2026 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
