Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
25-Mar-2026,"INR 1,002,395.06",120.0,Swarna Singh,10-Apr-2026 04:19 PM,228.pdf (898.00 KB),All Formulties Complete,1,5957245,MS PRABAL CONSTRUCTION PROP BHARAT SINGH CHAUHAN,08-Mar-2026 08:19 PM,Accepted-AOC,All Formulties Complete,10-Apr-2026 04:19 PM,1.0,5957245.0,MS PRABAL CONSTRUCTION PROP BHARAT SINGH CHAUHAN,INR,"1,002,395.06",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,2026_REDUP_1115822_3,1546/RED/NIVIDA/2025-26 Date 31.01.2026,Construction work of cremation ground at a public place in village Bandargudha of development block Birdha.,Technical,Technical Bid Open,Swarna Singh,09-Mar-2026 05:52 PM,,EE RED LALITPUR,Internal,AE DAO,Swarna Singh,25-Mar-2026 10:54 AM,finsummary_2070915.pdf (747.71 KB),Finance,Financial Bid open,Swarna Singh,16-Mar-2026 06:58 PM,,BOQ Comparative Chart,EE RED LALITPUR,Internal,AE DAO,Swarna Singh,11-Mar-2026 11:14 AM,16-Mar-2026 12:30 PM,techsummary_2070915.pdf (715.35 KB),AOC,EE RED LALITPUR,EE RED LALITPUR,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,1546/RED/NIVIDA/2025-26 Date 31.01.2026,2026_REDUP_1115822_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical bid,"20,100",No,fixed,,Nil,Nil,13-Feb-2026 06:00 PM,09-Mar-2026 03:30 PM,13-Feb-2026 06:00 PM,09-Mar-2026 12:30 PM,NA ,NA ,13-Feb-2026 06:00 PM,09-Mar-2026 12:30 PM,16-Mar-2026 12:30 PM,1.0,SBI Bank,Construction work of cremation ground at a public place in village Bandargudha of development block Birdha.,Construction work of cremation ground at a public place in village Bandargudha of development block Birdha.,Please refer Tender documents. ,NA ,"10,05,000",Civil Works,NA ,Tender,90.0,120.0,LALITPUR,284403.0,NA ,NA ,NA ,EE RED LALITPUR,No ,No,766.0,Nil,Nil,No,AOC
,,,,,,,2,5957281,MS SAANVI CONSTRUCTION/VIPIN KUMAR NIRANJAN,08-Mar-2026 08:48 PM,Rejected-Finance,L-2,25-Mar-2026 10:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
