Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
944.0,Nil,Nil,No,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical PDF,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,1682_05/Mlay/KHERI/2025-26,2026_REDUP_1122729_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"Interlocking construction work from house of Pakarma to house of Pramod via house of Prakash in the village of Lokayipurwa, Gram Panchayat Kaswal. Block Ramiyabehar","Interlocking construction work from house of Pakarma to house of Pramod via house of Prakash in the village of Lokayipurwa, Gram Panchayat Kaswal. Block Ramiyabehar",Please Refer Tender Document ,NA ,"17,90,700",Civil Works,NA ,Tender,90.0,60.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,1.0,Date Extension,Date,,11-Mar-2026 12:00 PM,27-Mar-2026 12:30 PM,11-Mar-2026 12:00 PM,27-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 12:00 PM,27-Mar-2026 12:00 PM,04-Apr-2026 12:00 PM,"36,000",No,fixed,,Nil,Nil,AOC,Technical,Recommended for Technical Evaluation,Hemant Saxena,28-Mar-2026 03:48 PM,technical_2091020.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,08-Apr-2026 05:22 PM,finsummary_2091020.pdf (362.37 KB),Finance,Recommended for Financial Evaluation,Rajendra Nath Chaturvedi,06-Apr-2026 01:23 PM,finance_2091020.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,30-Mar-2026 06:06 PM,04-Apr-2026 12:00 PM,techsummary_2091020.pdf (397.61 KB),08-Apr-2026,"INR 1,790,513",60.0,Rajendra Nath Chaturvedi,30-Apr-2026 10:05 PM,AOC_1682_05.pdf (286.00 KB),1,6003464,KUMAR CINSRTUCTION,25-Mar-2026 07:22 PM,Rejected-Finance,2nd Lowest Bidder,08-Apr-2026 03:12 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1122729_1,1682_05/Mlay/KHERI/2025-26,"Interlocking construction work from house of Pakarma to house of Pramod via house of Prakash in the village of Lokayipurwa, Gram Panchayat Kaswal. Block Ramiyabehar",1.0,6003536.0,M/s Prakhar Enterprises,INR,"1,790,513",AOC
,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6003536,M/s Prakhar Enterprises,26-Mar-2026 01:30 PM,Accepted-AOC,Accepted,30-Apr-2026 10:05 PM,,,,,,,,,,AOC
