S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1,6009346,AKASH CONSTRUCTION,26-Mar-2026 11:51 AM,Rejected-Finance,not ok,24-Apr-2026 03:25 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1128703_1,626/E E/Ayo/E Tender/MLC FUND/25-26 20.03.2026,Under the MLC Fund Scheme construction work of Late Atal Bihari Vajpayee Progress Gate at Tikarmafi on Tikarmafi Amtahi road in Block Bhadar,1.0,6011114.0,VINAY PRAKASH TRIPATHI,INR,"1,089,000",24-Apr-2026,"INR 1,089,000",90.0,Jagpal Verma,24-Apr-2026 04:49 PM,LOI.pdf (370.00 KB),Under the MLC Fund Scheme construction work of Late Atal Bihari Vajpayee Progress Gate at Tikarmafi on Tikarmafi Amtahi road in Block Bhadar,EE,Internal,E E Asst Acct,Jagpal Verma,16-Apr-2026 10:55 AM,16-Apr-2026 12:00 PM,techsummary_2105167.pdf (251.20 KB),Finance,Financial Bid opening summary,Jagpal Verma,24-Apr-2026 03:22 PM,finance_2105167.pdf,BOQ Comparative Chart,EE,Internal,E E Asst Acct,Jagpal Verma,24-Apr-2026 03:25 PM,finsummary_2105167.pdf (375.60 KB),Technical,Technical Bid opening summary,Jagpal Verma,16-Apr-2026 10:54 AM,technical_2105167.pdf,AOC,1,Fee/PreQual/Technical,.pdf,Under the MLC Fund Scheme construction work of Late Atal Bihari Vajpayee Progress Gate at Tikarmafi,21-Mar-2026 09:50 AM,27-Mar-2026 11:00 AM,21-Mar-2026 09:50 AM,27-Mar-2026 09:00 AM,NA ,NA ,21-Mar-2026 10:00 AM,27-Mar-2026 09:00 AM,16-Apr-2026 12:00 PM,"22,000",No,fixed,,E E U P Scidco,Ayodhya,"1,652",online,Ayodhya,No,1,FDR - Fixed Deposit,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,Under the MLC Fund Scheme construction work of Late Atal Bihari Vajpayee Progress Gate at Tikarmafi on Tikarmafi Amtahi road in Block Bhadar,Under the MLC Fund Scheme construction work of Late Atal Bihari Vajpayee Progress Gate at Tikarmafi on Tikarmafi Amtahi road in Block Bhadar,Please refer Tender documents. ,NA ,,Construction Works,Under MLC Fund Scheme Construction of Gate  ,Tender,90.0,90.0,Amethi,227405.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,23-Mar-2026 11:00 AM ,EE office up scidco,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,626/E E/Ayo/E Tender/MLC FUND/25-26 20.03.2026,2026_SCIDC_1128703_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
2,6011114,VINAY PRAKASH TRIPATHI,26-Mar-2026 07:58 PM,Accepted-AOC,ok,24-Apr-2026 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
