Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1500/RED/Tender/2025-26,2026_REDUP_1111346_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,02-Feb-2026 10:00 AM,07-Feb-2026 12:30 PM,02-Feb-2026 10:00 AM,07-Feb-2026 12:00 PM,NA ,NA ,02-Feb-2026 10:00 AM,07-Feb-2026 12:00 PM,12-Feb-2026 12:30 PM,"27,000",No,fixed,,Nil,Nil,"Laying of Interlocking from Sidhauli-Biswan road to the front of Dr. Radheshyam Verma house in Beljhariya, Block- Biswan","Laying of Interlocking from Sidhauli-Biswan road to the front of Dr. Radheshyam Verma house in Beljhariya, Block- Biswan",Please refer Tender documents. ,NA ,"13,08,982",Civil Works,NA ,Tender,90.0,90.0,"Biswan, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,EE RED Sitapur,"Vikas Bhawan, Sitapur",857.0,Nil,Nil,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,AOC,Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,12-Feb-2026 05:19 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,11-Feb-2026 04:28 PM,12-Feb-2026 12:30 PM,techsummary_2053068.pdf (321.70 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,07-Feb-2026 04:48 PM,,Gyanendra Kumar,Internal,,Gyanendra Kumar,22-Mar-2026 04:57 PM,finsummary_2053068.pdf (533.06 KB),27-Mar-2026,"INR 1,308,065",90.0,Gyanendra Kumar,06-Apr-2026 07:12 PM,235.pdf (362.00 KB),1,5842925,M/S KALPNA DEVI,04-Feb-2026 04:58 PM,Rejected-Finance,Higher Rate Quoted,22-Mar-2026 04:57 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1111346_5,1500/RED/Tender/2025-26,"Laying of Interlocking from Sidhauli-Biswan road to the front of Dr. Radheshyam Verma house in Beljhariya, Block- Biswan",1.0,5845156.0,SK Construction and Supplier,INR,"1,308,065",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5845156,SK Construction and Supplier,05-Feb-2026 05:49 PM,Accepted-AOC,L1,06-Apr-2026 07:12 PM,,,,,,,,,,AOC
