Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1644/RED/Tender/ 2025-26/Dt 10/02/26,2026_REDUP_1115623_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-Feb-2026 05:34 PM,25-Feb-2026 04:00 PM,18-Feb-2026 12:00 PM,24-Feb-2026 12:00 PM,NA ,NA ,18-Feb-2026 12:00 PM,24-Feb-2026 12:00 PM,13-Mar-2026 12:00 PM,1.0,SBI Bank,"Construction work of CC road towards Prajapati Samaj Shamshan Ghat located near Chandralok Colony, Khurja Nagar.","Construction work of CC road towards Prajapati Samaj Shamshan Ghat located near Chandralok Colony, Khurja Nagar.",Please refer Tender documents. ,NA ,"37,08,000",Civil Works,NA ,Tender,90.0,180.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,23-Feb-2026 12:00 PM ,EE RED BSR,No ,No,EE RED BSR,EE RED BSR,"73,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,T1,944.0,Nil,Nil,No,AOC,Finance,summarychandralok,Vishnoo Kumar,04-Apr-2026 01:22 PM,finance_2070379.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,11-Mar-2026 04:32 PM,13-Mar-2026 12:00 PM,techsummary_2070379.pdf (631.99 KB),Technical,summarykhurja,Vishnoo Kumar,11-Mar-2026 04:26 PM,technical_2070379.pdf,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,04-Apr-2026 01:26 PM,finsummary_2070379.pdf (63.14 KB),04-Apr-2026,"INR 3,264,674",180.0,Vishnoo Kumar,04-Apr-2026 01:30 PM,Chandralok.pdf (441.00 KB),1,5922413,JRS CONSTRUCTIONS,24-Feb-2026 10:19 AM,Rejected-Technical,1 Clause 3.1 (a) of ITB,11-Mar-2026 04:32 PM,1.0,5902200.0,ms d s construction,INR,"3,264,674",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1115623_1,1644/RED/Tender/ 2025-26/Dt 10/02/26,"Construction work of CC road towards Prajapati Samaj Shamshan Ghat located near Chandralok Colony, Khurja Nagar.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5902200,ms d s construction,21-Feb-2026 01:55 PM,Accepted-AOC,L,04-Apr-2026 01:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5902295,M/S SHIV CONSTRUCTION CO,20-Feb-2026 04:52 PM,Rejected-Finance,L2,04-Apr-2026 01:26 PM,,,,,,,,,,AOC
