Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
13-Mar-2026 11:00 AM,04-Apr-2026 12:00 PM,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,NA ,NA ,13-Mar-2026 11:00 AM,02-Apr-2026 05:00 PM,09-Apr-2026 06:30 PM,"17,400",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,205.0,adhishashi adhikari nagar palika parishad,sandila,No,1,DD - Demand Draft,EO and JE,sandila,22-npp sandila me wno13 me sanju ke makan se pramod ke makan hote huye kapil rathore ke makan tak va hariom ke makan se lalan ke makan tak cc sadak va nali nirman karya,22-npp sandila me wno13 me sanju ke makan se pramod ke makan hote huye kapil rathore ke makan tak va hariom ke makan se lalan ke makan tak cc sadak va nali nirman karya,Please refer Tender documents. ,NA ,"2,05,000",Civil Works,NA ,Tender,30.0,60.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,1.0,Fee/PreQual/Technical,.pdf,tech,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,1298/NP/NV/RVA/2025-26,2026_DOLBU_1124741_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Technical,6 admitted,Shiv Kumar,09-Apr-2026 04:07 PM,,eo and je,Internal,,Shiv Kumar,11-Apr-2026 12:55 PM,finsummary_2096016.pdf (158.15 KB),Finance,PARVEZ ALAM CONTRACTOR AND SUPPLIERS WINNER,Shiv Kumar,10-Apr-2026 01:56 PM,,BOQ Comparative Chart,eo and je,Internal,,gaurav Shukla,09-Apr-2026 06:26 PM,09-Apr-2026 06:30 PM,techsummary_2096016.pdf (108.52 KB),11-Apr-2026,"INR 162,975",60.0,Shiv Kumar,11-Apr-2026 12:58 PM,22.pdf (158.00 KB),1,6025328,asthana constructions,01-Apr-2026 12:06 PM,Rejected-AOC,L3,11-Apr-2026 12:58 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1124741_1,1298/NP/NV/RVA/2025-26,22-npp sandila me wno13 me sanju ke makan se pramod ke makan hote huye kapil rathore ke makan tak va hariom ke makan se lalan ke makan tak cc sadak va nali nirman karya,1.0,6025323.0,M/S PARVEZ ALAM CONTRACTOR AND SUPPLIERS,INR,"162,975",AOC
,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6025755,MOHAMMED ADIL,01-Apr-2026 04:36 PM,Rejected-AOC,L5,11-Apr-2026 12:58 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6025503,M/S ABDUL MOIZ CONTRACTOR,01-Apr-2026 01:53 PM,Rejected-AOC,L6,11-Apr-2026 12:58 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6025323,M/S PARVEZ ALAM CONTRACTOR AND SUPPLIERS,01-Apr-2026 12:05 PM,Accepted-AOC,L1,11-Apr-2026 12:58 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6024290,M/S SANJAY TIWARI CONTRACTOR,31-Mar-2026 02:05 PM,Rejected-AOC,L4,11-Apr-2026 12:58 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6027141,UMESH CHANDRA RATHORE CONTRACTOR,02-Apr-2026 04:40 PM,Rejected-AOC,L2,11-Apr-2026 12:58 PM,,,,,,,,,,AOC
