Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,16-Mar-2026 05:27 PM,17-Mar-2026 12:00 PM,techsummary_2081680.pdf (415.90 KB),Technical,Technical bid open,Sujit Kumar Sinha,10-Mar-2026 03:03 PM,technical_2081680.pdf,10-Apr-2026,"INR 1,101,543.72",180.0,Sujit Kumar Sinha,13-Apr-2026 06:15 PM,Document2.pdf (26.00 KB),1,5941056,M/S VAIBHAV ENTERPRISES,08-Mar-2026 10:33 AM,Accepted-AOC,AOC,13-Apr-2026 06:15 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1119239_49,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",Gam Panchayat Vaini me Sri Niwas Shukla ke ghar se Sanjay Tiwari ke ghar tak interlockign karya-Payagpur_49,Finance,Financial bid open,Sujit Kumar Sinha,18-Mar-2026 01:16 AM,finance_2081680.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,18-Mar-2026 02:56 PM,finsummary_2081680.pdf (398.91 KB),1.0,5941056.0,M/S VAIBHAV ENTERPRISES,INR,"1,101,543.72",AOC,"18,700",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1138/RED/E-Tender(31)/2025-26, Dt. 31.01.2026",2026_REDUP_1119239_49,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",1.0,SBI Bank,24-Feb-2026 12:00 PM,10-Mar-2026 12:30 PM,24-Feb-2026 12:00 PM,10-Mar-2026 12:00 PM,NA ,NA ,24-Feb-2026 12:00 PM,10-Mar-2026 12:00 PM,17-Mar-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical bid document,788.0,Nil,Nil,No,Gam Panchayat Vaini me Sri Niwas Shukla ke ghar se Sanjay Tiwari ke ghar tak interlockign karya-Payagpur_49,Gam Panchayat Vaini me Sri Niwas Shukla ke ghar se Sanjay Tiwari ke ghar tak interlockign karya-Payagpur_49,Please refer Tender documents. ,NA ,"9,35,000",Civil Works,NA ,Tender,90.0,18.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,AOC
,,,,,,,,,,,,,,,,,,2,5953082,M/s Vaishnavi Construction,08-Mar-2026 03:56 PM,Rejected-Finance,High,18-Mar-2026 02:56 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
