S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,BG - Bank Guarantee,"88,150",No,fixed,,EE,AGRA,SUPERINTENDENT ENGINEER,"06, RAJSHREE GARDEN, DAYAL BAGH, AGRA",27-Feb-2026 12:00 PM,17-Mar-2026 10:00 AM,27-Feb-2026 12:00 PM,16-Mar-2026 05:00 PM,NA ,NA ,27-Feb-2026 12:00 PM,16-Mar-2026 05:00 PM,19-Mar-2026 10:00 AM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,277/SE/E-TENDER/2025-26,2026_UPRNS_1120625_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"4,720",EE,AGRA,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,CONSTRUCTION OF CIRCLE WALL FOR NEW BARRACK AT DISTRICT JAIL MATHURA IN DISTRICT-MATHURA (U.P.),CONSTRUCTION OF CIRCLE WALL FOR NEW BARRACK AT DISTRICT JAIL MATHURA IN DISTRICT-MATHURA (U.P.),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,"DISTRICT JAIL, MATHURA",281001.0,NA ,NA ,NA ,AGRA,No ,No,AOC,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,19-Mar-2026 04:25 PM,finsummary_2084633.pdf (296.14 KB),Technical,WE HAVE RECEIVED TECHNICAL BID,NAGENDRA YADAV,18-Mar-2026 04:11 PM,technical_2084633.pdf,NAGENDRA YADAV SE,Internal,"SURYA PRATAP BAHADUR SINGH EE ARUN YADAV AE, SUNIL GUPTA JE, VIJENDRA PRATAP SINGH ACCOUNTANT",NAGENDRA YADAV,18-Mar-2026 04:24 PM,19-Mar-2026 10:00 AM,techsummary_2084633.pdf (296.14 KB),Finance,WE HAVE RECEIVED FINANCIAL BID,NAGENDRA YADAV,19-Mar-2026 04:19 PM,finance_2084633.pdf,BOQ Comparative Chart,1.0,5968630.0,SHRI BANKEY BIHARI TRADER,INR,"4,405,559.4",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Agra I,2026_UPRNS_1120625_1,277/SE/E-TENDER/2025-26,CONSTRUCTION OF CIRCLE WALL FOR NEW BARRACK AT DISTRICT JAIL MATHURA IN DISTRICT-MATHURA (U.P.),1,5976455,AVNI CONSTRUCATION AND SUPPLIERS,16-Mar-2026 12:14 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Mar-2026 04:11 PM,23-Mar-2026,"INR 4,405,559.4",120.0,NAGENDRA YADAV,02-Apr-2026 01:11 PM,277.pdf (173.00 KB),QUOTED AMOUNT LOWER THEN OTHER BIDER,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5972622,SHIV ASSOCIATES,14-Mar-2026 04:20 PM,Rejected-Finance,QUOTED AMOUNT HIRE THEN OTHER BIDER,19-Mar-2026 04:25 PM,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5968630,SHRI BANKEY BIHARI TRADER,12-Mar-2026 06:43 PM,Accepted-AOC,QUOTED AMOUNT LOWER THEN OTHER BIDER,02-Apr-2026 01:11 PM,,,,,,,,AOC
